trade_date,spot,f2m,f1y,ret1yl,roll1y
2014-09-01,6.17,6.18,6.31,1.4100000000000001,1.4600000000000009
2014-10-01,5.52,5.53,5.62,2.2800000000000002,2.290000000000001
2014-11-03,6.34,6.35,6.46,1.8899999999999997,1.9200000000000008
2014-12-01,6.84,6.85,6.95,1.46,1.4800000000000013
2015-01-02,6.78,6.79,6.87,1.0999999999999996,1.1100000000000003
2015-02-02,6.86,6.87,6.97,-1.3499999999999996,-1.3200000000000003
2015-03-02,6.71,6.71,6.8,-1.83,-1.8200000000000003
2015-04-01,6.99,7.0,7.06,-1.92,-1.9200000000000008
2015-05-01,7.24,7.25,7.3,-1.29,-1.290000000000001
2015-06-01,7.0,7.0,7.07,-1.21,-1.1900000000000004
2015-07-01,7.19,7.19,7.27,-2.75,-2.7200000000000015
2015-08-03,7.65,7.66,7.73,-3.41,-3.380000000000001
2015-09-01,7.72,7.73,7.82,-3.5,-3.4400000000000004
2015-10-01,7.9,7.91,7.99,-2.7300000000000004,-2.670000000000001
2015-11-02,8.35,8.36,8.43,-2.4399999999999995,-2.38
2015-12-01,8.41,8.41,8.48,-4.0600000000000005,-4.000000000000001
2016-01-04,7.97,7.98,8.04,-2.669999999999999,-2.6100000000000003
2016-02-01,5.62,5.63,5.65,-0.4300000000000006,-0.41000000000000014
2016-03-01,4.97,4.96,4.94,0.9199999999999999,0.8799999999999999
2016-04-01,5.14,5.14,5.14,-0.3099999999999996,-0.33000000000000007
2016-05-02,6.01,6.01,6.03,-1.5,-1.5
2016-06-01,5.86,5.86,5.91,-0.8600000000000003,-0.8400000000000007
2016-07-01,4.52,4.52,4.56,0.54,0.5499999999999998
2016-08-01,4.32,4.32,4.56,0.7000000000000002,0.9099999999999993
