trade_date,spot,f2m,f1y,ret1yl,roll1y
2013-01-02,100.1719,100.0859,100.0859,0.25,0.5705400000000509
2013-02-01,100.1016,99.99219,99.99219,0.539110000000008,1.031440000000046
2013-03-01,100.2266,100.1484,100.1484,0.42190000000000794,1.093930000000043
2013-04-01,100.1016,100.0078,100.0078,0.11719999999999686,0.9298300000000381
2013-05-01,100.2813,100.2109,100.2109,0.07040000000000646,0.6329300000000444
2013-06-03,100.0625,99.91406,99.91406,0.5000399999999985,0.7345300000000492
2013-07-01,99.8125,99.57813,99.57813,0.9843699999999984,0.7813900000000586
2013-08-01,99.90625,99.69531,99.69531,0.7655899999999889,0.35167000000005544
2013-09-03,99.78906,99.52344,99.52344,0.945360000000008,0.593920000000054
2013-10-01,99.91406,100.1719,100.1719,-0.08599999999999852,0.19540000000003488
2013-11-01,100.0703,100.375,100.375,0.015600000000006276,0.6017000000000365
2013-12-02,100.2188,100.5469,100.5469,0.007800000000003138,0.8360000000000269
2014-01-02,100.3359,100.0547,100.0547,0.3516000000000048,0.758000000000024
2014-02-03,100.5313,100.2734,100.2734,0.6797000000000111,0.8282000000000238
2014-03-03,100.5703,100.3359,100.3359,0.2891000000000048,0.2032000000000096
2014-04-01,100.125,100.3047,100.3047,0.3516000000000048,0.8204000000000065
2014-05-01,100.2813,100.4609,100.4609,0.1641000000000048,0.8125
2014-06-02,100.4141,100.6172,100.6172,0.046900000000007935,0.8983999999999952
2014-07-01,100.5625,100.5625,100.5625,0.25,0.9530999999999921
2014-08-01,100.4609,100.1328,100.1328,0.7578000000000031,1.1328000000000031
2014-09-02,100.4688,100.0938,100.0938,1.140599999999992,1.140599999999992
2014-10-01,100.0859,100.0859,100.0859,1.1641000000000048,1.4609999999999985
2014-11-03,100.3906,100.4766,100.4766,0.6483999999999952,1.0312999999999874
2014-12-01,100.5547,100.6953,100.6953,0.28130000000000166,0.8048000000000002
2015-01-02,100.4063,100.4063,100.4063,0.046800000000004616,0.7891000000000048
2015-02-02,100.9531,100.9531,100.9531,0.23439999999999372,0.9766999999999939
2015-03-02,100.625,100.25,100.25,0.9531000000000063,1.3204000000000065
2015-04-01,100.6563,100.6563,100.6563,-0.007900000000006457,0.3593999999999937
2015-05-01,100.625,100.625,100.625,-0.0625,0.3048000000000002
2015-06-01,100.6641,100.8125,100.8125,-0.4375,0.07819999999999538
2015-07-01,100.8125,100.8125,100.8125,0.6171999999999969,1.1328999999999922
2015-08-03,100.8906,100.8906,100.8906,0.2734999999999985,0.7891999999999939
2015-09-01,101.2344,100.9375,100.9375,0.19530000000000314,0.4141000000000048
2015-10-01,101.25,101.25,101.25,-0.875,-0.6561999999999983
2015-11-02,101.125,101.125,101.125,-0.8203000000000031,-0.6015000000000015
2015-12-01,100.9766,100.7578,100.7578,-0.9921700000000016,-0.9921700000000016
2016-01-04,100.4531,100.4531,100.4531,-1.0781000000000063,-1.0781000000000063
2016-02-01,101.1875,101.1875,101.1875,-1.8359399999999937,-1.8359399999999937
2016-03-01,101.2031,101.2031,101.2031,-1.85154,-1.85154
2016-04-01,100.6484,100.6484,100.6484,-1.296839999999989,-1.296839999999989
2016-05-02,100.5625,100.5625,100.5625,-1.2109399999999937,-1.2109399999999937
2016-06-01,100.375,100.375,100.375,-1.0234399999999937,-1.0234399999999937
2016-07-01,101.4297,101.4297,101.4297,-2.0781399999999906,-2.0781399999999906
2016-08-01,101.1641,101.1641,101.1641,-1.8125399999999985,-1.8125399999999985
