trade_date,spot,f2m,f1y,ret1yl,roll1y
2015-10-01,1064.7,1061.1,1050.3,147.10000000000014,175.89999999999986
2015-11-02,1164.0,1160.4,1149.6,15.600000000000136,44.399999999999864
2015-12-01,1165.8,1162.2,1151.4,60.69999999999982,89.5
2016-01-04,1112.7,1109.1,1098.3,150.4000000000001,179.20000000000005
2016-02-01,1060.6,1057.0,1046.2,215.70000000000005,244.50000000000023
2016-03-01,1092.0,1088.4,1077.6,250.4000000000001,279.2000000000003
2016-04-01,1141.1,1137.5,1126.7,178.29999999999995,207.10000000000036
2016-05-02,1149.1,1145.5,1134.7,188.0,216.8000000000004
2016-06-01,1162.4,1158.8,1148.0,199.0,227.8000000000004
2016-07-01,1160.6,1157.0,1146.2,198.39999999999986,227.20000000000027
2016-08-01,1199.6,1196.0,1185.2,185.5999999999999,214.10000000000036
