trade_date,spot,f2m,f1y,ret1yl,roll1y
2001-03-01,109.13,107.94,106.82,8.320000000000007,18.45999999999998
2001-04-02,110.23,109.08,106.6,10.080000000000013,18.649999999999977
2001-05-01,108.3,107.06,103.82,11.13000000000001,18.73999999999998
2001-06-01,100.78,99.68,96.65,19.299999999999997,26.999999999999986
2001-07-02,104.33,103.28,100.39,17.310000000000002,25.099999999999994
2001-08-01,109.21,108.08,105.06,11.840000000000003,19.38000000000001
2001-09-04,105.69,104.59,101.68,14.849999999999994,22.38000000000001
2001-10-01,109.41,108.49,105.98,13.86,21.82000000000002
2001-11-01,109.74,108.86,106.54,14.689999999999998,22.850000000000023
2001-12-03,110.49,109.61,107.28,16.799999999999997,24.970000000000027
2002-01-02,118.65,117.75,114.81,8.780000000000001,16.340000000000018
2002-02-01,114.28,113.37,110.4,18.72999999999999,26.16000000000001
2002-03-01,115.14,114.2,111.2,16.700000000000003,24.02000000000001
2002-04-01,116.68,115.64,112.02,16.019999999999996,22.450000000000003
2002-05-01,114.95,113.97,110.73,21.999999999999986,28.569999999999993
2002-06-03,115.95,114.95,111.57,27.700000000000017,33.89999999999999
2002-07-01,117.7,116.69,113.44,24.039999999999992,30.10999999999997
2002-08-01,116.9,115.92,113.05,21.820000000000007,27.949999999999974
2002-09-03,116.53,115.58,112.87,12.799999999999997,18.87999999999998
2002-10-01,119.84,118.95,116.47,12.509999999999991,18.60999999999997
2002-11-01,121.23,120.33,117.8,9.329999999999998,15.129999999999953
2002-12-02,124.08,123.18,120.68,10.349999999999994,15.989999999999952
2003-01-02,123.59,122.78,120.77,13.36999999999999,19.40999999999994
2003-02-03,129.13,128.27,126.08,4.640000000000001,10.369999999999948
2003-03-03,127.9,127.13,125.04,10.510000000000005,16.269999999999953
2003-04-01,128.04,127.3,125.2,2.4399999999999977,8.149999999999963
2003-05-01,132.73,131.96,129.67,1.7700000000000102,7.119999999999962
2003-06-02,139.27,138.52,136.26,-1.1499999999999773,4.159999999999982
2003-07-01,137.48,136.82,135.03,-3.8499999999999943,1.9900000000000233
2003-08-01,134.87,134.13,131.91,1.1599999999999966,6.549999999999997
2003-09-02,125.67,124.99,122.88,10.390000000000015,15.930000000000007
2003-10-01,128.98,128.33,126.44,9.990000000000009,15.810000000000016
2003-11-03,127.13,126.42,124.16,11.140000000000015,16.630000000000038
2003-12-01,131.03,130.31,128.02,8.699999999999989,14.190000000000026
2004-01-02,134.14,133.41,130.96,6.900000000000006,12.240000000000066
2004-02-02,130.72,130.02,127.88,7.030000000000001,12.730000000000047
2004-03-01,135.55,134.85,132.71,4.759999999999991,10.500000000000057
2004-04-01,127.64,127.04,125.19,13.129999999999995,19.290000000000035
2004-05-03,131.44,130.76,128.56,6.159999999999997,12.100000000000051
2004-06-01,135.11,134.39,132.13,0.5099999999999909,6.410000000000025
2004-07-01,131.18,130.46,128.02,4.869999999999976,10.620000000000005
2004-08-02,133.07,132.35,129.9,6.469999999999999,12.180000000000035
2004-09-01,133.27,132.56,130.15,6.949999999999989,12.740000000000009
2004-10-01,136.43,135.68,132.97,2.460000000000008,7.930000000000007
2004-11-01,135.3,134.55,132.12,7.519999999999982,13.199999999999989
2004-12-01,136.72,135.98,133.75,7.560000000000002,13.430000000000007
2005-01-03,137.86,137.11,134.75,4.1299999999999955,9.93999999999997
2005-02-01,134.91,134.17,131.83,10.009999999999991,16.039999999999992
2005-03-01,137.47,136.74,134.39,3.9000000000000057,10.179999999999978
2005-04-01,138.32,137.51,135.12,6.960000000000008,13.379999999999995
2005-05-02,134.72,133.98,131.9,10.530000000000001,17.53
2005-06-01,132.64,131.89,129.84,14.22999999999999,21.52000000000001
2005-07-01,132.89,132.2,130.12,15.889999999999986,23.430000000000007
2005-08-01,136.37,135.62,133.55,12.679999999999978,20.539999999999992
2005-09-01,137.1,136.37,134.35,15.810000000000002,24.039999999999992
2005-10-03,135.43,134.75,132.66,16.25999999999999,24.859999999999985
2005-11-01,139.64,138.91,136.64,12.140000000000015,21.03
2005-12-01,141.31,140.49,137.75,15.849999999999994,24.649999999999977
2006-01-03,138.88,137.94,135.28,21.580000000000013,30.74000000000001
2006-02-01,141.84,140.85,138.07,18.430000000000007,27.74000000000001
2006-03-01,138.29,137.3,134.61,20.319999999999993,30.03000000000003
2006-04-03,142.08,141.07,138.18,18.159999999999997,27.890000000000043
2006-05-01,142.43,141.42,138.54,23.879999999999995,33.940000000000026
2006-06-01,144.07,143.1,140.37,23.47999999999999,34.110000000000014
2006-07-03,146.01,144.95,141.91,23.55000000000001,34.23000000000002
2006-08-01,146.23,145.18,141.99,19.189999999999998,30.100000000000023
2006-09-01,150.16,149.04,145.5,12.460000000000008,23.31000000000003
2006-10-02,148.92,147.72,144.38,19.170000000000016,30.510000000000048
2006-11-01,148.78,147.58,144.2,21.24000000000001,32.80000000000004
2006-12-01,153.6,152.38,148.79,13.070000000000022,24.700000000000074
2007-01-02,156.86,155.6,151.94,8.080000000000013,19.910000000000053
2007-02-01,156.5,155.2,151.45,5.5,17.420000000000044
2007-03-01,154.93,153.7,150.04,6.460000000000008,18.57000000000002
2007-04-02,156.34,155.01,151.14,6.7900000000000205,18.670000000000016
2007-05-01,162.42,161.03,156.9,3.7299999999999898,15.370000000000005
2007-06-01,163.85,162.43,158.2,3.8300000000000125,15.420000000000016
2007-07-02,165.46,164.03,159.76,6.310000000000002,17.960000000000008
2007-08-01,161.18,159.77,155.65,10.97999999999999,23.05000000000001
2007-09-04,157.96,156.47,152.6,4.849999999999994,17.360000000000014
2007-10-01,163.55,162.09,158.08,-10.310000000000002,2.160000000000025
2007-11-01,165.44,163.94,159.9,-35.21000000000001,-22.93999999999997
2007-12-03,161.86,160.33,156.27,-38.10000000000001,-26.67999999999998
2008-01-02,160.02,158.54,154.59,-27.28,-16.629999999999967
2008-02-01,156.95,155.62,152.16,-37.45,-27.129999999999967
2008-03-03,156.5,155.19,151.83,-28.980000000000018,-19.47999999999996
