trade_date,spot,f2m,f1y,ret1yl,roll1y
2012-01-03,19158.0,19172.0,19225.0,5211.0,5201.0
2012-02-01,24113.0,24137.0,24170.0,731.0,721.0
2012-03-01,23747.0,23760.0,23823.5,-693.5,-658.0
2012-04-02,22752.0,22776.0,22893.0,79.0,182.0
2012-05-01,22500.0,22521.0,22664.0,-2726.0,-2584.0
2012-06-01,19420.0,19412.0,19476.0,1733.0,1773.0
2012-07-02,18914.0,18915.0,18976.0,944.0,969.0
2012-08-01,17785.0,17793.0,17866.0,3054.0,3076.0
2012-09-03,19789.0,19794.0,19787.0,1460.0,1409.0
2012-10-01,21913.0,21893.0,21797.0,1221.0,1076.0
2012-11-01,20393.0,20393.0,20336.0,2470.0,2350.0
2012-12-03,21865.0,21860.0,21805.0,689.0,568.0
2013-01-02,24436.0,24440.0,24411.0,-2351.0,-2442.0
2013-02-01,24901.0,24899.0,24786.0,-2619.0,-2801.0
2013-03-01,23130.0,23140.0,23069.0,-77.0,-197.0
2013-04-02,22972.0,22980.0,23043.0,-67.0,-35.0
2013-05-01,19938.0,19953.0,20014.0,2866.0,2926.0
2013-06-03,21209.0,21222.0,21306.0,2088.0,2199.0
2013-07-01,19920.0,19943.0,20043.0,2761.0,2917.0
2013-08-01,20920.0,20918.0,21020.0,1407.0,1564.0
2013-09-02,21247.0,21232.0,21264.0,348.0,412.0
2013-10-01,23018.0,23032.0,23097.0,-2777.0,-2681.0
2013-11-01,22806.0,22804.0,22815.0,-3033.0,-3000.0
2013-12-02,22494.0,22494.0,22496.0,-2173.0,-2150.0
2014-01-02,22060.0,22065.0,22082.0,-2393.0,-2345.0
2014-02-03,22167.0,22157.0,22090.0,-3265.0,-3307.0
2014-03-03,22992.0,22982.0,22834.0,-5066.0,-5219.0
2014-04-01,22976.0,22961.0,22855.0,-6329.0,-6470.0
2014-05-01,22880.0,22865.0,22749.0,-6772.0,-6966.0
2014-06-02,23394.0,23388.0,23244.0,-7898.0,-8141.0
2014-07-01,22804.0,22803.0,22720.0,-8167.0,-8364.0
2014-08-01,22427.0,22435.0,22467.0,-6432.0,-6514.0
2014-09-01,21612.0,21627.0,21719.0,-6734.0,-6741.0
2014-10-01,20320.0,20327.0,20439.0,-4864.0,-4694.0
2014-11-03,19782.0,19783.0,19789.0,-4897.0,-4807.0
2014-12-01,20323.0,20318.0,20314.0,-5094.0,-4989.0
2015-01-02,19689.0,19685.0,19684.5,-5234.5,-5080.0
2015-02-02,18825.0,18845.0,18886.0,-4034.0,-3793.0
2015-03-02,17768.0,17783.0,17879.0,-1729.0,-1408.0
2015-04-01,16526.0,16554.0,16677.0,73.0,549.0
2015-05-01,15977.0,15992.0,16095.0,1213.0,1699.0
2015-06-01,15346.0,15360.0,15429.0,801.0,1272.0
2015-07-01,14553.0,14561.0,14573.0,2913.0,3345.0
2015-08-03,16035.0,16035.0,15942.0,1928.0,2257.0
2015-09-01,14985.0,14835.0,14525.0,4645.0,4597.0
2015-10-01,15575.0,15550.0,15300.0,4750.0,4744.0
2015-11-02,14892.0,14862.0,14750.0,6225.0,6387.0
2015-12-01,15220.0,15170.0,15060.0,6170.0,6334.0
2016-01-04,14450.0,14425.0,14346.0,6744.0,6999.0
2016-02-01,14852.0,14842.0,14690.0,5135.0,5337.0
2016-03-01,16150.0,16050.0,15745.0,3760.0,3694.0
2016-04-01,16750.0,16735.0,16509.0,3585.0,3573.0
2016-05-03,17308.0,17303.0,17064.0,2956.0,2935.0
2016-06-01,16230.0,16220.0,16016.5,4508.5,4533.0
2016-07-01,17486.0,17484.0,17320.0,3055.0,3142.0
2016-08-01,17870.0,17880.0,17790.0,2825.0,3056.0
2016-09-01,19170.0,19163.0,18988.0,1802.0,1986.0
