trade_date,spot,f2m,f1y,ret1yl,roll1y
2007-08-03,74.75,74.83,73.4,50.78,51.00999999999999
2007-09-04,73.92,73.47,71.22,37.120000000000005,34.739999999999995
2007-10-01,77.64,77.49,75.15,20.179999999999993,16.069999999999993
2007-11-01,89.72,89.29,84.02,-23.54,-32.430000000000014
2007-12-03,89.8,89.37,87.15,-39.18000000000001,-47.49000000000001
2008-01-02,97.84,97.59,93.26,-46.35000000000001,-59.10000000000001
2008-02-01,89.44,89.11,87.91,-44.089999999999996,-56.93000000000001
2008-03-03,100.48,100.15,98.84,-56.63,-71.64000000000001
2008-04-01,100.17,99.9,96.96,-48.519999999999996,-66.38000000000001
2008-05-01,110.5,110.3,106.9,-54.050000000000004,-73.73
2008-06-02,128.02,128.41,128.78,-60.81,-77.42000000000002
2008-07-01,140.67,141.46,143.63,-74.83999999999999,-89.5
2008-08-01,124.18,125.52,128.99,-55.44000000000001,-68.02
2008-09-02,108.34,109.83,115.96,-48.22999999999999,-57.09
2008-10-01,95.33,96.75,103.2,-34.010000000000005,-41.88000000000001
2008-11-03,60.48,62.52,73.38,3.1700000000000017,0.9699999999999918
2008-12-01,47.97,50.05,64.02,15.329999999999998,17.50999999999999
2009-01-02,46.91,49.8,62.53,17.590000000000003,20.599999999999994
2009-02-02,43.82,45.55,54.41,18.700000000000003,18.899999999999984
2009-03-02,42.21,43.16,50.28,26.61,25.419999999999987
2009-04-01,48.44,49.6,59.05,24.960000000000008,26.929999999999993
2009-05-01,52.85,53.94,63.23,25.71,28.069999999999993
2009-06-01,67.97,68.61,73.44,-0.730000000000004,-3.240000000000009
2009-07-01,68.79,69.35,74.92,-2.5799999999999983,-4.63000000000001
2009-08-03,73.55,73.98,79.57,1.25,-0.6100000000000136
2009-09-01,67.73,68.48,74.52,1.8299999999999983,0.9499999999999744
2009-10-01,69.19,69.97,75.78,7.969999999999999,7.269999999999982
2009-11-02,76.55,77.36,83.55,1.0700000000000074,1.289999999999992
2009-12-01,79.35,80.17,86.92,1.9500000000000028,3.3299999999999983
2010-01-04,80.12,80.79,86.26,8.579999999999998,9.310000000000002
2010-02-01,73.11,73.71,79.52,22.22,23.930000000000007
2010-03-01,76.89,77.22,81.37,34.05,34.260000000000005
2010-04-01,84.01,84.55,86.87,31.83,30.870000000000005
2010-05-03,88.94,89.99,94.75,30.370000000000005,33.19000000000001
2010-06-01,72.71,73.55,79.88,34.650000000000006,40.15000000000002
2010-07-01,72.34,72.6,77.27,34.5,38.94000000000001
2010-08-02,80.82,81.04,85.78,31.03,35.91000000000001
2010-09-01,76.35,76.72,82.4,31.89,38.36000000000003
2010-10-01,83.75,84.02,87.73,13.97999999999999,19.600000000000023
2010-11-01,84.62,84.84,87.73,21.810000000000002,28.920000000000016
2010-12-01,88.87,88.91,90.29,18.69999999999999,25.500000000000014
2011-01-03,94.84,94.8,95.44,16.689999999999998,22.99000000000001
2011-02-01,101.74,101.91,102.68,8.879999999999995,16.080000000000013
2011-03-01,115.42,115.3,112.59,13.61,17.560000000000016
2011-04-01,118.7,118.41,114.77,10.66000000000001,14.630000000000024
2011-05-02,125.12,124.85,120.67,-1.0100000000000051,2.8100000000000165
2011-06-01,114.53,114.19,111.25,-12.819999999999993,-7.759999999999977
2011-07-01,111.77,111.62,111.73,-14.39,-5.979999999999976
2011-08-01,116.81,116.53,115.49,-9.530000000000001,-2.34999999999998
2011-09-01,114.29,113.44,110.49,3.690000000000012,9.380000000000024
2011-10-03,101.71,99.62,95.83,16.36,19.660000000000025
2011-11-01,109.54,108.38,103.21,4.960000000000008,6.550000000000026
2011-12-01,108.99,108.71,105.12,5.799999999999997,9.520000000000024
2012-01-03,112.13,111.53,106.51,5.959999999999994,8.550000000000026
2012-02-01,111.56,111.21,107.59,9.170000000000002,14.090000000000032
2012-03-01,126.2,124.96,116.07,-5.6699999999999875,-6.299999999999969
2012-04-02,125.43,124.77,117.12,-6.040000000000006,-5.09999999999998
2012-05-01,119.66,119.32,113.7,-13.75,-10.84999999999998
2012-06-01,98.43,97.98,96.04,6.019999999999996,12.570000000000007
2012-07-02,97.34,97.14,95.93,7.069999999999993,14.400000000000006
2012-08-01,105.96,104.69,101.2,8.340000000000003,12.630000000000024
2012-09-04,114.18,113.64,108.29,7.390000000000001,10.160000000000025
2012-10-01,112.19,111.36,105.5,2.4399999999999977,5.770000000000024
2012-11-01,108.17,107.34,102.58,3.3299999999999983,7.760000000000019
2012-12-03,110.92,110.02,105.1,6.3500000000000085,9.740000000000023
2013-01-02,112.47,111.19,104.69,3.0900000000000034,4.020000000000024
2013-02-01,116.76,115.8,108.08,-2.039999999999992,-3.109999999999971
2013-03-01,110.4,109.41,102.46,8.740000000000009,8.100000000000023
2013-04-01,111.08,110.81,105.24,0.38000000000000966,1.2800000000000296
2013-05-01,99.95,99.53,96.52,11.240000000000009,14.340000000000032
2013-06-03,102.06,101.81,98.54,10.289999999999992,13.430000000000035
