trade_date,spot,f2m,f1y,ret1yl,roll1y
2008-11-03,20.5,21.07,21.9,11.850000000000001,8.849999999999998
2008-12-01,19.52,20.36,21.4,9.25,9.049999999999997
2009-01-02,20.08,20.59,20.98,15.400000000000002,15.21
2009-02-02,19.4,20.0,21.43,19.520000000000003,21.900000000000002
2009-03-02,19.7,20.35,21.53,16.85,19.330000000000005
2009-04-01,21.0,21.75,21.65,9.990000000000002,13.38000000000001
2009-05-01,21.4,21.72,21.68,6.969999999999999,11.710000000000008
2009-06-01,21.8,22.4,22.38,11.070000000000004,16.97000000000001
2009-07-01,22.75,22.75,23.12,10.929999999999996,18.070000000000004
2009-08-03,23.5,23.61,23.66,11.610000000000003,23.590000000000007
2009-09-01,28.58,29.0,27.13,9.27,23.240000000000006
2009-10-01,30.6,29.63,27.25,12.049999999999997,29.490000000000002
2009-11-02,33.75,32.0,25.08,14.490000000000002,26.99
2009-12-01,30.65,30.5,24.7,12.739999999999998,26.77
2010-01-04,36.38,35.45,28.63,10.370000000000001,21.99
2010-02-01,40.95,41.25,29.99,9.379999999999999,16.109999999999996
2010-03-01,38.38,36.94,28.8,10.849999999999998,19.52999999999999
2010-04-01,31.64,30.67,26.13,13.23,23.689999999999987
2010-05-03,28.65,28.11,25.88,10.620000000000001,22.409999999999993
2010-06-01,33.45,32.6,25.9,9.149999999999999,15.669999999999984
2010-07-01,34.05,29.0,28.55,6.84,14.199999999999992
2010-08-02,35.27,31.78,29.0,11.0,12.859999999999989
2010-09-01,36.4,31.45,28.99,12.239999999999998,9.469999999999988
2010-10-01,39.3,37.95,30.75,6.25,-2.0800000000000125
2010-11-01,39.57,39.01,32.65,6.200000000000003,-2.4000000000000057
2010-12-01,37.44,37.9,33.45,3.219999999999999,-3.260000000000005
2011-01-04,39.0,39.75,34.25,1.75,-5.6000000000000085
2011-02-01,39.37,39.1,34.33,0.1700000000000017,-6.8500000000000085
2011-03-01,39.65,40.5,35.99,-2.3700000000000045,-8.650000000000006
2011-04-01,39.36,39.8,36.0,-1.2299999999999969,-6.6200000000000045
2011-05-02,36.5,36.45,34.73,-4.889999999999997,-8.280000000000005
2011-06-01,35.05,35.41,33.63,-5.130000000000003,-8.419999999999998
