trade_date,spot,f2m,f1y,ret1yl,roll1y
1997-07-01,901.25,910.95,942.0,214.4000000000001,98.25
1997-08-01,953.0,963.2,995.9,121.69999999999993,5.0
1997-09-01,904.85,943.35,975.15,24.350000000000023,-66.94999999999993
1997-10-01,963.4,973.7,1007.1,-12.300000000000068,-101.69999999999993
1997-11-03,945.7,955.4,986.3,134.9000000000001,44.20000000000016
1997-12-01,979.6,990.3,1022.5,151.70000000000005,62.70000000000016
1998-01-02,984.7,994.9,1026.6,214.30000000000018,123.4000000000002
1998-02-02,1004.0,1014.2,1045.5,228.79999999999995,136.20000000000005
1998-03-02,1050.1,1061.3,1095.0,144.5,53.600000000000136
1998-04-01,1118.2,1130.2,1168.6,134.10000000000014,48.40000000000009
1998-05-01,1129.6,1141.9,1180.1,179.10000000000014,93.00000000000023
1998-06-01,1095.2,1107.1,1143.5,152.0999999999999,62.80000000000018
1998-07-01,1156.4,1168.8,1207.3,184.79999999999995,97.09999999999991
1998-08-03,1117.6,1129.8,1166.5,169.70000000000005,77.0
1998-09-01,999.5,1009.5,1036.7,297.29999999999995,190.29999999999995
1998-10-01,994.8,1003.3,1024.0,269.5,149.20000000000005
1998-11-02,1121.2,1131.5,1158.5,204.0,98.70000000000005
1998-12-01,1174.2,1185.8,1217.7,184.79999999999995,79.0
1999-01-04,1240.9,1252.4,1286.9,179.29999999999995,69.39999999999986
1999-02-01,1274.3,1286.2,1324.6,92.20000000000005,-21.40000000000009
1999-03-01,1239.5,1251.0,1287.5,97.5,-25.0
1999-04-01,1302.7,1315.2,1357.5,170.70000000000005,48.40000000000009
1999-05-03,1359.2,1372.5,1415.8,61.100000000000136,-68.19999999999982
1999-06-01,1295.6,1308.5,1352.1,99.40000000000009,-38.19999999999982
1999-07-01,1392.1,1407.5,1458.1,32.40000000000009,-104.69999999999982
1999-08-02,1336.2,1351.0,1401.2,46.299999999999955,-98.99999999999977
1999-09-01,1334.0,1349.3,1400.3,123.0,-28.199999999999818
1999-10-01,1293.5,1295.1,1358.4,97.79999999999995,-62.399999999999864
1999-11-01,1362.5,1379.5,1431.0,1.0,-175.5999999999999
1999-12-01,1402.5,1420.7,1475.5,-155.0,-331.0999999999999
2000-01-03,1466.2,1485.7,1549.5,-249.70000000000005,-416.79999999999995
2000-02-01,1416.8,1435.3,1499.3,-116.79999999999995,-281.9999999999998
2000-03-01,1385.0,1403.1,1464.5,-221.0,-386.0999999999999
2000-04-03,1528.2,1549.5,1621.0,-470.70000000000005,-617.5
2000-05-01,1476.9,1498.4,1569.9,-297.4000000000001,-433.4000000000001
2000-06-01,1451.5,1473.4,1545.4,-280.4000000000001,-405.0
2000-07-03,1490.5,1513.1,1584.9,-339.0,-451.2999999999997
2000-08-01,1447.5,1469.5,1539.1,-317.6999999999998,-418.89999999999964
2000-09-01,1523.3,1546.2,1619.1,-488.0999999999999,-570.5999999999997
2000-10-02,1456.2,1477.8,1543.8,-500.5,-574.6999999999998
2000-11-01,1432.0,1453.0,1518.7,-436.70000000000005,-492.39999999999986
2000-12-01,1320.5,1340.0,1397.5,-268.0,-313.9999999999998
2001-01-02,1299.8,1316.6,1363.6,-209.5999999999999,-250.69999999999982
2001-02-01,1382.5,1397.9,1443.9,-320.5,-349.7999999999997
2001-03-01,1243.5,1256.6,1294.8,-162.29999999999995,-188.49999999999955
2001-04-02,1150.3,1161.0,1191.3,-46.799999999999955,-72.49999999999955
2001-05-01,1272.5,1283.5,1318.0,-229.5999999999999,-243.59999999999945
2001-06-01,1265.0,1275.1,1306.5,-267.70000000000005,-276.3999999999994
2001-07-02,1245.9,1254.6,1288.1,-318.4999999999999,-317.59999999999957
2001-08-01,1221.4,1228.9,1256.7,-372.70000000000005,-370.89999999999975
2001-09-04,1131.0,1137.4,1161.0,-283.29999999999995,-279.2999999999996
2001-10-01,1043.3,1045.5,1059.0,-204.89999999999998,-208.7999999999995
2001-11-01,1082.0,1083.6,1095.2,-196.70000000000005,-200.09999999999945
2001-12-03,1129.5,1130.9,1141.7,-206.4000000000001,-208.39999999999964
2002-01-02,1154.0,1156.6,1172.1,-264.69999999999993,-258.59999999999957
2002-02-01,1123.4,1125.6,1140.2,-281.70000000000005,-273.7999999999997
2002-03-01,1132.5,1134.8,1147.8,-312.4,-302.79999999999984
2002-04-01,1144.5,1148.0,1171.5,-314.79999999999995,-290.1999999999998
2002-05-01,1088.4,1090.1,1105.8,-190.79999999999995,-170.79999999999995
2002-06-03,1038.8,1040.0,1052.0,-83.79999999999995,-65.09999999999991
2002-07-01,969.6,970.5,981.0,0.20000000000004547,19.300000000000068
2002-08-01,884.0,884.0,888.0,91.60000000000002,105.90000000000009
2002-09-03,877.7,877.7,880.1,142.0,156.5000000000001
2002-10-01,854.1,853.3,856.6,159.79999999999995,176.0000000000001
