trade_date,spot,f2m,f1y,ret1yl,roll1y
1995-11-05,308.75,311.25,316.15,49.05000000000001,27.499999999999943
1995-12-01,319.25,321.9,326.65,66.85000000000002,44.94999999999993
1996-01-02,329.05,331.4,336.1,52.14999999999998,29.14999999999992
1996-02-01,335.4,337.75,340.85,63.64999999999998,38.7999999999999
1996-03-01,340.3,342.65,345.55,60.94999999999999,34.999999999999886
1996-04-01,349.2,351.2,355.2,38.30000000000001,12.199999999999875
1996-05-01,347.0,349.0,353.0,51.89999999999998,24.49999999999983
1996-06-03,350.0,352.1,356.1,72.29999999999995,43.69999999999982
1996-07-01,353.2,355.6,359.6,92.39999999999998,62.449999999999875
1996-08-01,338.2,340.6,344.6,132.89999999999998,101.44999999999993
1996-09-03,343.3,346.3,350.3,121.69999999999999,88.14999999999992
1996-10-01,359.0,361.85,366.5,123.5,89.44999999999993
1996-11-01,365.2,368.05,372.7,105.30000000000001,69.24999999999994
1996-12-02,393.5,396.9,401.55,89.94999999999999,52.49999999999994
1997-01-02,388.25,390.85,395.85,99.64999999999998,60.64999999999992
1997-02-03,404.5,407.75,411.95,82.55000000000001,41.49999999999994
1997-03-03,406.5,409.75,413.95,106.05000000000001,70.94999999999993
1997-04-01,393.5,396.8,400.8,150.90000000000003,114.39999999999998
1997-05-01,404.9,408.2,412.2,148.3,113.00000000000006
1997-06-02,428.4,432.15,436.15,108.85000000000002,72.10000000000002
1997-07-01,452.0,455.9,455.9,101.60000000000002,60.049999999999955
1997-08-01,477.5,482.6,490.6,37.60000000000002,3.5499999999999545
1997-09-02,472.0,476.0,484.85,-22.850000000000023,-57.75
1997-10-01,490.0,494.85,502.85,-37.35000000000002,-73.94999999999999
1997-11-03,478.0,482.8,490.8,24.19999999999999,-11.799999999999955
1997-12-01,491.5,496.0,504.3,31.19999999999999,-4.199999999999989
1998-01-02,495.5,500.0,509.0,49.5,14.500000000000057
1998-02-02,494.5,491.8,500.8,59.80000000000001,17.700000000000102
1998-03-02,520.0,524.5,533.5,15.600000000000023,-26.399999999999864
1998-04-01,551.7,553.8,562.7,7.7999999999999545,-37.499999999999886
1998-05-01,560.5,565.7,574.6,58.39999999999998,13.800000000000068
1998-06-01,545.0,549.7,558.6,39.89999999999998,-4.499999999999886
1998-07-01,557.5,563.1,574.3,57.700000000000045,15.900000000000205
1998-08-03,528.2,533.9,545.1,60.39999999999998,12.800000000000182
1998-09-01,462.0,467.7,478.9,115.10000000000002,68.20000000000016
1998-10-01,465.5,469.7,480.9,81.60000000000002,33.90000000000015
1998-11-02,515.0,519.2,530.4,62.60000000000002,16.000000000000114
1998-12-01,535.5,540.3,551.5,38.5,-6.399999999999864
1999-01-04,558.5,562.9,568.5,32.5,-16.699999999999932
1999-02-01,560.6,565.0,570.6,23.399999999999977,-29.399999999999977
1999-03-01,549.1,554.4,579.9,-21.899999999999977,-57.5
1999-04-01,570.5,575.0,585.6,42.39999999999998,-11.600000000000023
1999-05-03,633.0,637.5,648.1,-32.10000000000002,-90.0
1999-06-01,598.5,603.8,614.4,4.600000000000023,-56.39999999999998
1999-07-01,632.0,643.5,654.7,-55.700000000000045,-110.60000000000002
1999-08-02,605.5,610.5,621.7,-17.700000000000045,-75.30000000000007
1999-09-01,594.0,599.0,610.2,21.299999999999955,-39.000000000000114
1999-10-01,562.5,565.6,576.8,60.200000000000045,-4.000000000000114
1999-11-01,593.0,596.1,607.3,32.700000000000045,-37.40000000000009
1999-12-01,590.0,593.1,604.3,4.7000000000000455,-71.30000000000007
2000-01-03,601.0,609.0,625.0,9.0,-62.700000000000045
2000-02-01,594.0,602.0,618.0,50.200000000000045,-22.5
2000-03-01,558.0,566.0,582.0,34.799999999999955,-38.90000000000009
2000-04-03,628.0,636.4,652.4,-64.19999999999993,-138.5
2000-05-01,616.0,624.4,640.4,-0.10000000000002274,-71.40000000000009
2000-06-01,619.0,625.0,639.9,-1.7999999999999545,-73.60000000000014
2000-07-03,599.0,606.7,615.0,9.0,-66.50000000000011
2000-08-01,604.0,611.7,620.0,-9.600000000000023,-81.80000000000007
2000-09-01,631.5,638.5,646.8,-80.09999999999991,-149.69999999999993
2000-10-02,637.0,646.0,646.0,-134.5,-206.39999999999998
2000-11-01,640.0,649.0,649.0,-126.20000000000005,-190.0
2000-12-01,609.0,617.5,617.5,-78.70000000000005,-134.9000000000001
2001-01-02,634.0,643.0,643.0,-89.39999999999998,-136.9000000000001
2001-02-01,668.2,677.2,677.2,-144.0,-182.70000000000005
2001-03-01,616.8,625.8,625.8,-86.5,-116.39999999999998
2001-04-02,588.2,593.6,593.6,-39.10000000000002,-63.80000000000007
2001-05-01,640.3,645.7,645.7,-111.70000000000005,-131.60000000000002
2001-06-01,638.1,642.9,642.9,-127.39999999999998,-143.10000000000002
2001-07-02,624.0,628.4,628.4,-139.89999999999998,-151.60000000000002
2001-08-01,610.4,614.8,614.8,-185.09999999999997,-192.40000000000003
2001-09-04,566.7,569.7,569.7,-147.20000000000005,-151.5000000000001
2001-10-01,511.5,512.4,512.4,-104.69999999999999,-108.10000000000008
2001-11-01,522.8,523.7,523.7,-93.00000000000006,-95.10000000000008
2001-12-03,538.8,539.1,539.1,-86.5,-87.89999999999998
2002-01-02,553.6,553.8,553.8,-113.09999999999997,-113.0
2002-02-01,533.2,533.4,533.4,-116.0,-114.80000000000013
2002-03-01,539.3,539.5,539.5,-137.10000000000002,-133.0000000000001
2002-04-01,554.5,555.1,555.1,-148.10000000000002,-142.30000000000013
2002-05-01,534.0,534.6,534.6,-94.0,-85.40000000000009
2002-06-03,515.5,515.9,515.9,-37.69999999999999,-27.800000000000068
2002-07-01,488.5,488.5,488.5,-11.5,0.7999999999998977
2002-08-01,429.7,429.7,429.7,50.19999999999999,63.899999999999864
2002-09-03,422.5,422.5,422.5,77.0,92.19999999999987
2002-10-01,407.7,407.3,407.3,86.69999999999999,103.09999999999991
2002-11-01,430.7,430.3,430.3,89.40000000000003,107.29999999999995
2002-12-02,452.6,451.3,451.3,74.19999999999999,93.59999999999997
2003-01-02,440.7,439.8,439.8,109.90000000000003,130.3
2003-02-03,417.4,414.7,414.7,147.00000000000006,165.60000000000014
2003-03-03,402.4,401.3,401.3,175.40000000000003,194.1000000000002
2003-04-01,407.0,404.8,404.8,165.2,183.00000000000023
2003-05-01,440.6,439.7,439.7,115.80000000000001,133.90000000000026
2003-06-02,478.2,475.8,475.8,81.69999999999999,98.40000000000026
2003-07-01,477.0,475.6,475.6,87.79999999999995,104.3000000000003
2003-08-01,479.9,478.4,478.4,80.39999999999998,95.60000000000025
2003-09-02,499.5,497.9,497.9,65.30000000000007,79.50000000000023
2003-10-01,494.0,492.1,492.1,87.89999999999998,101.4000000000002
2003-11-03,519.7,516.9,516.9,62.80000000000007,73.10000000000025
2003-12-01,525.5,523.6,523.6,88.89999999999998,97.00000000000023
2004-01-02,549.7,548.8,548.8,73.20000000000005,79.70000000000016
2004-02-02,561.7,560.5,560.5,52.799999999999955,56.60000000000002
2004-03-01,576.7,575.4,575.4,47.89999999999998,49.59999999999991
2004-04-01,570.0,568.8,568.8,37.30000000000007,36.999999999999886
2004-05-03,555.5,554.5,554.5,41.89999999999998,38.49999999999977
2004-06-01,557.5,556.3,556.3,63.200000000000045,56.69999999999982
2004-07-01,563.4,563.2,563.2,59.799999999999955,57.49999999999977
2004-08-02,558.8,558.2,558.2,81.79999999999995,77.59999999999991
2004-09-01,563.2,562.0,562.0,71.20000000000005,62.5
2004-10-01,580.0,580.4,580.4,58.60000000000002,48.5
2004-11-01,579.7,580.0,580.0,46.39999999999998,33.399999999999864
2004-12-01,612.5,613.2,613.2,42.0,26.399999999999864
2005-01-03,622.0,623.5,623.5,33.5,16.499999999999886
2005-02-01,613.3,614.1,614.1,54.39999999999998,34.09999999999991
2005-03-01,623.3,624.1,624.1,53.299999999999955,29.5
2005-04-01,606.1,608.2,608.2,78.79999999999995,52.5
2005-05-02,596.4,598.3,598.3,100.5,71.20000000000005
2005-06-01,619.5,615.1,615.1,74.0,35.200000000000045
2005-07-01,623.0,624.3,624.3,66.5,23.899999999999977
2005-08-01,640.0,643.3,643.3,44.700000000000045,0.09999999999990905
2005-09-01,633.2,635.0,635.0,65.39999999999998,17.39999999999975
2005-10-03,639.0,642.2,642.2,74.29999999999995,24.799999999999727
2005-11-01,626.4,629.7,629.7,104.69999999999993,52.69999999999982
2005-12-01,655.2,658.1,658.1,89.89999999999998,35.399999999999864
2006-01-03,657.0,661.1,661.1,107.89999999999998,51.899999999999864
2006-02-01,668.5,672.8,672.8,109.40000000000009,51.69999999999993
2006-03-01,677.4,682.0,682.0,79.79999999999995,20.399999999999864
2006-04-03,687.0,691.9,691.9,84.10000000000002,23.59999999999991
2006-05-01,698.8,703.9,703.9,101.20000000000005,41.0
2006-06-01,689.1,694.2,694.2,139.0,77.20000000000005
2006-07-03,690.8,696.1,696.1,130.19999999999993,66.60000000000014
2006-08-01,688.0,693.2,693.2,89.79999999999995,25.400000000000205
2006-09-01,700.4,705.1,705.1,89.69999999999993,29.000000000000227
2006-10-02,716.5,722.3,722.3,102.40000000000009,41.50000000000034
2006-11-01,734.4,739.8,739.8,56.30000000000007,-3.999999999999659
2006-12-01,748.0,753.6,753.6,19.100000000000023,-39.79999999999961
2007-01-03,769.0,775.0,775.0,-22.100000000000023,-78.69999999999959
2007-02-01,782.2,788.5,788.5,-44.89999999999998,-99.69999999999959
2007-03-01,761.8,767.8,767.8,-75.69999999999993,-128.99999999999955
2007-04-02,776.0,780.8,780.8,-65.69999999999993,-118.69999999999959
2007-05-01,805.1,811.8,811.8,-82.5,-127.79999999999973
2007-06-01,833.2,840.3,840.3,-139.19999999999993,-176.89999999999975
2007-07-02,826.3,832.3,832.3,-202.39999999999998,-234.49999999999977
2007-08-01,783.0,784.0,784.0,-150.39999999999998,-181.19999999999982
2007-09-04,794.8,800.8,800.8,-156.89999999999998,-180.99999999999977
2007-10-01,824.7,829.5,829.5,-234.70000000000005,-253.39999999999986
2007-11-01,796.1,800.3,800.3,-309.19999999999993,-326.6999999999998
2007-12-03,772.7,776.4,776.4,-375.79999999999995,-388.4999999999999
2008-01-02,752.9,757.4,757.4,-299.7,-304.9999999999999
2008-02-01,743.6,748.1,748.1,-358.6,-356.99999999999994
2008-03-03,692.1,696.6,696.6,-375.20000000000005,-366.59999999999997
2008-04-01,715.1,714.1,714.1,-337.90000000000003,-328.0
2008-05-01,729.3,728.8,728.8,-317.99999999999994,-307.49999999999994
2008-06-02,701.1,701.5,701.5,-259.0,-245.3
2008-07-01,629.9,629.6,629.6,-196.40000000000003,-180.10000000000002
2008-08-01,633.6,632.9,632.9,-158.29999999999995,-140.0
2008-09-02,643.9,643.3,643.3,-164.39999999999998,-144.10000000000002
2008-10-01,594.8,597.8,597.8,-105.29999999999995,-79.30000000000001
2008-11-03,491.1,490.0,490.0,-0.10000000000002274,27.699999999999875
2008-12-01,400.6,397.7,397.7,124.19999999999999,153.79999999999984
2009-01-02,457.7,455.3,455.3,75.19999999999999,105.49999999999989
2009-02-02,389.5,387.0,387.0,131.5,162.09999999999985
2009-03-02,321.4,319.1,319.1,210.19999999999993,241.29999999999978
2009-04-01,376.2,375.1,375.1,185.19999999999993,217.89999999999975
2009-05-01,410.8,408.0,408.0,166.29999999999995,199.09999999999974
2009-06-01,442.5,439.6,439.6,73.5,105.99999999999972
2009-07-01,433.2,430.5,430.5,56.89999999999998,89.29999999999973
2009-08-03,474.6,472.0,472.0,62.200000000000045,94.69999999999976
2009-09-01,478.9,476.2,476.2,38.400000000000034,70.8999999999998
2009-10-01,492.5,489.6,489.6,47.799999999999955,80.29999999999978
2009-11-02,489.9,485.2,485.2,62.69999999999999,93.79999999999978
2009-12-01,521.9,518.8,518.8,37.60000000000002,68.5999999999998
2010-01-04,530.5,527.7,527.7,67.5,98.69999999999982
2010-02-01,518.5,515.7,515.7,101.39999999999998,134.19999999999993
2010-03-01,529.3,526.6,526.6,91.5,124.30000000000007
2010-04-01,560.3,557.4,557.4,70.10000000000002,102.70000000000016
2010-05-03,574.3,571.7,571.7,67.19999999999993,100.10000000000014
2010-06-01,513.1,510.5,510.5,102.39999999999998,135.80000000000018
2010-07-01,487.4,484.7,484.7,134.90000000000003,168.60000000000025
2010-08-02,534.2,531.5,531.5,55.299999999999955,89.2000000000001
2010-09-01,514.6,511.7,511.7,35.400000000000034,68.40000000000015
2010-10-01,537.4,534.1,534.1,-41.80000000000001,-8.899999999999807
2010-11-01,547.9,544.9,544.9,3.8999999999999773,37.200000000000216
2010-12-01,556.4,553.4,553.4,7.100000000000023,40.90000000000026
2011-01-03,595.2,590.8,590.8,-11.0,21.800000000000125
2011-02-01,617.1,614.4,614.4,-10.199999999999932,22.500000000000057
2011-03-01,618.1,615.4,615.4,11.100000000000023,44.00000000000006
2011-04-01,627.5,624.6,624.6,19.199999999999932,52.30000000000001
2011-05-02,638.9,635.8,635.8,0.7000000000000455,33.7000000000001
2011-06-01,612.9,609.9,609.9,-35.19999999999993,-2.2999999999998977
2011-07-01,619.6,616.7,616.7,-3.0,30.700000000000102
2011-08-01,586.8,584.8,584.8,33.10000000000002,68.20000000000022
2011-09-01,547.1,543.9,543.9,88.0,123.60000000000008
2011-10-03,492.3,488.9,488.9,160.80000000000007,196.9000000000001
2011-11-01,548.8,545.3,545.3,104.40000000000009,140.80000000000018
2011-12-01,560.5,557.1,557.1,84.69999999999993,121.50000000000011
2012-01-03,579.8,577.2,577.2,91.5,129.4000000000002
2012-02-01,604.2,601.3,601.3,102.30000000000007,141.10000000000025
2012-03-01,626.5,623.4,623.4,82.60000000000002,122.20000000000016
2012-04-02,643.8,640.8,640.8,86.10000000000002,126.20000000000016
2012-05-01,636.5,633.6,633.6,100.5,141.70000000000016
2012-06-01,574.7,571.0,571.0,191.5,232.60000000000014
2012-07-02,613.7,610.3,610.3,142.20000000000005,183.10000000000014
2012-08-01,617.9,614.2,614.2,180.79999999999995,221.70000000000016
2012-09-04,631.9,628.0,628.0,130.60000000000002,171.20000000000027
2012-10-01,649.7,645.9,645.9,130.30000000000007,171.10000000000025
2012-11-01,649.7,645.9,645.9,161.5,202.10000000000014
2012-12-03,641.8,638.1,638.1,189.10000000000002,229.80000000000018
2013-01-02,668.7,664.9,664.9,171.80000000000007,212.70000000000016
2013-02-01,703.6,699.7,699.7,91.89999999999998,132.9000000000001
2013-03-01,706.0,702.5,702.5,131.20000000000005,172.9000000000002
2013-04-01,726.9,722.9,722.9,135.89999999999998,177.80000000000018
2013-05-01,734.1,730.5,730.5,134.0,176.5000000000001
2013-06-03,762.5,759.3,759.3,117.60000000000002,161.0000000000001
2013-07-01,752.5,748.8,748.8,146.20000000000005,190.0000000000001
2013-08-01,795.0,791.4,791.4,83.0,127.5
2013-09-03,758.6,754.6,754.6,151.89999999999998,196.89999999999998
2013-10-01,776.2,772.6,772.6,104.79999999999995,150.9999999999999
2013-11-01,807.4,803.6,803.6,97.89999999999998,145.19999999999993
2013-12-02,827.2,823.2,823.2,96.59999999999991,144.29999999999984
2014-01-02,836.7,832.7,832.7,93.0,140.69999999999993
2014-02-03,791.6,787.4,787.4,107.70000000000005,155.69999999999993
2014-03-03,833.7,829.5,829.5,102.89999999999998,151.19999999999982
2014-04-01,858.8,854.6,854.6,54.60000000000002,103.19999999999993
2014-05-01,864.5,860.4,860.4,70.89999999999998,119.69999999999993
2014-06-02,876.9,872.8,872.8,57.90000000000009,107.10000000000002
2014-07-01,895.0,890.7,890.7,23.899999999999977,73.10000000000002
2014-08-01,874.4,869.9,869.9,39.5,88.80000000000007
2014-09-02,906.5,901.7,901.7,-72.0,-22.999999999999886
2014-10-01,877.4,872.5,872.5,-45.299999999999955,3.60000000000025
2014-11-03,901.5,897.1,897.1,3.0,52.20000000000027
2014-12-01,919.8,915.8,915.8,-16.09999999999991,34.600000000000364
2015-01-02,925.7,921.2,921.2,-60.40000000000009,-9.999999999999773
2015-02-02,895.1,890.6,890.6,-64.10000000000002,-13.699999999999704
2015-03-02,932.4,927.9,927.9,-77.60000000000002,-26.89999999999975
2015-04-01,909.2,904.9,904.9,-16.0,35.20000000000016
2015-05-01,931.3,926.8,926.8,-17.899999999999977,34.000000000000114
2015-06-01,930.7,926.4,926.4,-14.199999999999932,38.60000000000002
2015-07-01,914.6,910.0,910.0,4.7000000000000455,58.10000000000002
2015-08-03,909.4,904.9,904.9,27.399999999999977,80.29999999999995
2015-09-01,829.7,824.9,824.9,116.39999999999998,168.4999999999999
2015-10-01,827.2,822.5,822.5,108.5,159.89999999999986
2015-11-02,900.1,894.6,894.6,20.399999999999977,69.5999999999998
2015-12-01,899.7,895.5,895.5,84.39999999999998,132.6999999999997
2016-01-04,860.8,856.3,856.3,150.30000000000007,197.39999999999975
2016-02-01,826.5,821.7,821.7,180.0999999999999,224.89999999999964
2016-03-01,850.3,845.5,845.5,211.5999999999999,254.1999999999996
2016-04-01,888.9,883.7,883.7,138.69999999999993,178.6999999999996
2016-05-02,908.9,903.7,903.7,119.69999999999993,156.1999999999996
2016-06-01,912.2,907.0,907.0,121.40000000000009,155.59999999999968
2016-07-01,914.7,910.7,910.7,132.5999999999999,165.6999999999996
2016-08-01,932.3,928.3,928.3,121.79999999999995,152.49999999999955
