trade_date,spot,f2m,f1y,ret1yl,roll1y
2014-02-03,122.51,119.82,111.75,-49.78,-50.579999999999984
2014-03-03,115.0,113.58,109.13,-46.949999999999996,-45.15999999999999
2014-04-01,116.67,114.75,108.0,-59.4,-61.35999999999999
2014-05-01,105.75,104.0,101.5,-47.62,-46.30999999999999
2014-06-02,93.91,93.63,93.75,-34.25,-29.849999999999987
2014-07-01,95.12,94.92,95.58,-40.46,-33.22
2014-08-01,94.69,94.5,93.63,-40.03999999999999,-31.64999999999999
2014-09-02,86.7,86.8,86.5,-31.549999999999997,-19.89999999999999
2014-10-01,78.85,78.75,78.75,-25.97,-11.469999999999985
2014-11-03,78.07,77.82,76.18,-28.870000000000005,-13.109999999999978
2014-12-01,69.75,69.17,66.13,-26.379999999999995,-10.479999999999983
2015-01-02,70.06,69.38,67.5,-25.549999999999997,-7.549999999999983
2015-02-02,61.97,61.58,58.63,-16.03,2.410000000000018
2015-03-02,62.18,61.71,58.68,-9.409999999999997,9.430000000000021
2015-04-01,48.6,47.83,46.05,7.1200000000000045,27.83000000000002
2015-05-01,53.88,53.13,48.25,15.75,34.58000000000001
2015-06-01,59.5,57.0,50.75,-3.289999999999999,13.480000000000018
2015-07-01,55.12,52.25,46.78,5.949999999999996,23.410000000000018
2015-08-03,53.59,51.0,43.43,16.35,30.640000000000015
2015-09-01,54.95,52.3,44.21,13.740000000000002,26.400000000000013
2015-10-01,52.78,49.63,40.57,14.54,25.110000000000007
2015-11-02,47.31,45.19,39.84,23.72,37.78000000000001
2015-12-01,39.75,38.13,33.48,42.06000000000001,56.54000000000001
2016-01-04,41.95,40.05,35.43,38.940000000000005,53.110000000000014
2016-02-01,42.6,41.65,33.4,49.720000000000006,62.680000000000014
2016-03-01,49.27,47.88,37.76,49.86000000000001,60.620000000000005
2016-04-01,53.17,51.2,39.83,38.620000000000005,48.28000000000001
2016-05-02,64.0,62.19,47.5,20.5,27.59000000000001
2016-06-01,47.46,44.68,37.34,18.049999999999997,30.760000000000005
2016-07-01,52.73,51.21,38.78,26.22,33.06000000000001
2016-08-01,59.78,58.24,43.9,27.669999999999995,32.370000000000005
