trade_date,spot,f2m,f1y,ret1yl,roll1y
2015-10-01,913.4,909.7,898.6,135.30000000000007,166.10000000000025
2015-11-02,996.5,992.8,981.7,30.59999999999991,61.400000000000205
2015-12-01,997.0,993.3,982.2,95.39999999999986,126.20000000000005
2016-01-04,949.7,946.0,934.9,173.19999999999993,203.99999999999977
2016-02-01,904.9,901.2,890.1,213.9999999999999,244.7999999999996
2016-03-01,929.7,926.0,914.9,247.30000000000007,278.09999999999957
2016-04-01,972.6,968.9,957.8,168.4000000000001,199.1999999999996
2016-05-02,995.9,992.2,981.1,145.69999999999993,176.49999999999955
2016-06-01,1006.5,1002.8,991.7,142.0,172.79999999999973
2016-07-01,1007.4,1003.3,992.2,154.39999999999986,184.7999999999996
2016-08-01,1029.9,1025.8,1014.7,139.20000000000005,169.59999999999957
