trade_date,spot,f2m,f1y,ret1yl,roll1y
2012-01-03,31708.8,31622.75,30800.0,-5886.0,-6426.869999999999
2012-02-01,32611.88,32345.0,31300.0,-6377.0,-7447.0
2012-03-01,31200.0,31250.0,30550.0,-5108.0,-5815.0
2012-04-02,32745.0,32645.0,31790.0,-6476.0,-7471.0
2012-05-01,30650.0,30630.0,29900.0,-2392.0,-3305.0
2012-06-01,29500.0,29500.0,28775.0,722.25,-175.75
2012-07-02,29504.0,29504.0,28804.0,2956.0,2083.0
2012-08-01,30015.0,30015.0,29286.0,-2936.0,-3928.0
2012-09-03,29500.0,29500.0,28800.0,-467.0,-1500.0
2012-10-01,29750.0,29750.0,29035.0,-2400.0,-3432.0
2012-11-01,25850.0,25850.0,25135.0,1733.0,676.0
2012-12-03,23861.5,23916.5,23430.0,2502.0,1697.5
2013-01-02,24914.0,24954.0,25000.0,4459.0,4197.0
2013-02-01,24923.0,24955.0,25000.0,5673.0,5422.0
2013-03-01,25442.0,25475.0,25525.0,5385.0,5142.0
2013-04-02,25314.0,25337.0,25526.0,5065.5,4949.5
2013-05-01,27508.0,27498.0,27650.0,2253.0,2045.0
2013-06-03,29497.25,29497.25,29713.25,1111.75,922.75
2013-07-01,31760.0,31850.0,32209.0,-1379.0,-1345.0
2013-08-01,26350.0,26420.0,26871.0,5286.0,5427.0
2013-09-02,28333.0,28317.0,28553.0,3878.0,3738.0
2013-10-01,26635.0,26660.0,27068.0,5360.0,5387.0
2013-11-01,26868.0,26899.0,27293.0,3666.5,3683.0
2013-12-02,25932.0,25962.0,26351.0,4036.0,4062.5
2014-01-02,29459.0,29479.0,29820.0,1821.0,1766.5
2014-02-03,30673.0,30703.0,31093.0,-1633.0,-1653.5
2014-03-03,30910.0,30945.0,31352.0,-2640.0,-2653.5
2014-04-01,30591.5,30636.5,31051.0,-4594.0,-4615.0
2014-05-01,29903.0,29948.0,30347.0,-230.0,-291.5
2014-06-02,30825.0,30835.0,31179.0,-984.0,-1122.5
2014-07-01,30830.0,30885.0,31234.0,1766.0,1667.5
2014-08-01,32157.0,32207.0,32593.0,-1893.0,-1654.5
2014-09-01,32431.0,32461.0,32841.0,-5142.0,-4779.5
2014-10-01,32428.0,32455.5,32842.5,-5397.5,-5022.5
2014-11-03,30959.5,30974.5,31343.5,-5416.0,-5066.0
2014-12-01,30387.0,30440.0,30855.0,-6571.0,-6142.0
2015-01-02,31641.0,31686.0,32100.0,-8440.0,-8003.0
2015-02-02,29460.0,29505.0,29883.0,-8218.0,-7805.0
2015-03-02,28712.0,28772.0,29204.0,-6096.0,-5600.0
2015-04-01,26457.0,26527.0,26950.5,-4320.5,-3828.0
2015-05-01,30117.0,30149.0,30554.0,-7337.0,-6882.0
2015-06-01,30195.0,30215.0,30609.0,-6924.0,-6470.0
2015-07-01,33000.0,32750.0,32553.0,-8410.0,-8797.0
2015-08-03,30700.0,30600.0,30811.0,-4561.0,-4684.5
2015-09-01,27699.0,27721.0,28091.0,-2841.0,-2783.5
2015-10-01,27445.0,27467.0,27850.0,-600.0,-507.5
2015-11-02,25927.5,25947.5,26354.0,1881.0,2017.0
2015-12-01,24284.0,24320.0,24729.0,5021.0,5195.5
2016-01-04,23660.0,23693.0,24092.0,8658.0,8855.5
2016-02-01,21665.0,21696.0,22087.0,15413.0,15633.5
2016-03-01,23108.0,23173.0,23686.0,27564.0,27971.5
2016-04-01,22630.0,22681.0,23178.0,32572.0,33014.5
2016-05-03,23217.0,23227.0,23663.0,31087.0,31478.5
2016-06-01,23685.0,23685.0,24155.5,31694.5,32120.5
2016-07-01,24143.0,24187.5,24649.0,34771.0,35332.5
2016-08-01,26250.0,26250.0,26466.0,30384.0,30770.0
2016-09-01,25250.0,25250.0,25574.0,35176.0,35970.0
