trade_date,spot,f2m,f1y,ret1yl,roll1y
2002-06-03,9.13,9.151,9.21,-0.08099900000000027,-0.33499899999999627
2002-07-01,9.127001,9.154,9.206,0.017001000000000488,-0.24599899999999586
2002-08-01,9.4375,9.4645,9.5165,-0.25650000000000084,-0.5064989999999963
2002-09-03,9.3365,9.363501,9.415501,-0.24050100000000008,-0.47749899999999457
2002-10-01,9.110001,9.136001,9.2205,-0.16749999999999865,-0.3624999999999954
2002-11-01,9.104501,9.130501,9.215,-0.16000000000000014,-0.3440009999999969
2002-12-02,9.021501,9.047501,9.132,-0.10849999999999937,-0.29500199999999666
2003-01-02,9.125,9.157001,9.2375,-0.1595000000000013,-0.3340009999999971
2003-02-03,9.2335,9.2655,9.346001,-0.15150099999999966,-0.3059999999999974
2003-03-03,9.217,9.249001,9.3295,-0.047998999999999015,-0.18299999999999805
2003-04-01,9.269501,9.2985,9.344001,-0.11300000000000132,-0.2639989999999983
2003-05-01,9.136001,9.165,9.210501,-0.060001000000001525,-0.18750099999999925
2003-06-02,9.129001,9.158,9.203501,-0.11099999999999888,-0.21150100000000016
2003-07-01,9.223001,9.237,9.2995,-0.13099900000000098,-0.20100100000000154
2003-08-01,9.26,9.274,9.3365,-0.11949999999999861,-0.17550199999999982
2003-09-02,9.175,9.191501,9.25,-0.1274999999999995,-0.17050200000000082
2003-10-01,9.053,9.068001,9.128,-0.0990000000000002,-0.12700200000000095
2003-11-03,9.055,9.083501,9.136001,-0.08699999999999974,-0.09500099999999989
2003-12-01,9.0235,9.0395,9.084001,-0.13100100000000126,-0.13200000000000145
2004-01-02,9.078,9.09,9.127501,-0.10650000000000048,-0.09699900000000028
2004-02-02,9.1945,9.207001,9.2395,-0.1419990000000002,-0.11899800000000127
2004-03-01,9.281501,9.2915,9.326,-0.2649990000000013,-0.2224970000000024
2004-04-01,9.231001,9.236501,9.248501,-0.07850099999999927,-0.04799900000000257
2004-05-03,9.1505,9.1525,9.1645,0.041999999999999815,0.07600099999999976
2004-06-01,9.092501,9.093,9.110001,0.041499999999999204,0.08500099999999833
2004-07-01,9.168501,9.168501,9.1875,0.2865000000000002,0.3384999999999998
2004-08-02,9.217,9.2165,9.229,0.16300000000000026,0.22100099999999756
2004-09-01,9.1225,9.124001,9.146001,0.16499999999999915,0.2450009999999967
2004-10-01,9.029,9.030001,9.049001,0.2504989999999996,0.339501999999996
2004-11-01,9.049001,9.05,9.069,0.5220009999999995,0.6285029999999967
2004-12-01,8.953,8.9475,8.9575,0.534001,0.6420029999999972
2005-01-03,9.021001,9.015,9.015,0.33150000000000013,0.44350199999999695
2005-02-01,9.097501,9.09,9.0795,0.16849999999999987,0.2740009999999966
2005-03-01,9.061001,9.056001,9.0345,0.4145000000000003,0.5164999999999971
2005-04-01,9.17,9.168501,9.157001,0.23050000000000104,0.361501999999998
2005-05-02,9.2065,9.2025,9.188001,0.08650000000000091,0.2220039999999983
2005-06-01,9.151501,9.145,9.135501,0.11049900000000079,0.25350300000000026
2005-07-01,9.474,9.461,9.434,-0.2604999999999986,-0.1349979999999995
2005-08-01,9.392,9.381001,9.3485,-0.15300000000000047,-0.029498000000000246
2005-09-01,9.311001,9.3,9.289001,0.03149899999999839,0.18100199999999944
2005-10-03,9.2995,9.283,9.276501,0.04799900000000079,0.19900200000000012
2005-11-01,9.591001,9.575001,9.550501,-0.36000100000000046,-0.23099900000000062
2005-12-01,9.491501,9.4715,9.442,-0.42749900000000096,-0.3104990000000001
2006-01-03,9.3465,9.335,9.323501,-0.3160000000000007,-0.18299800000000133
2006-02-01,9.248,9.2355,9.216001,-0.16600099999999962,-0.04449899999999829
2006-03-01,9.449,9.4285,9.391001,-0.08649999999999913,0.0045010000000011985
2006-04-03,9.387501,9.376,9.347,0.016500999999999877,0.11899999999999977
2006-05-01,9.274501,9.2655,9.232,-0.094498999999999,0.007999999999999119
2006-06-01,9.246,9.233001,9.197001,0.11999899999999997,0.2189989999999984
2006-07-03,9.1735,9.159,9.143001,0.1134990000000009,0.2314999999999987
2006-08-01,9.1955,9.18,9.163501,0.07850000000000001,0.19050100000000114
2006-09-01,9.3205,9.307,9.290001,0.10699900000000007,0.21250000000000213
2006-10-02,9.3245,9.3125,9.306001,-0.13899999999999935,-0.02449899999999694
2006-11-01,9.1905,9.177501,9.1615,0.09050099999999972,0.19000200000000333
2006-12-01,9.014501,9.005,8.9945,0.39400000000000013,0.4930010000000049
2007-01-02,9.007501,8.998501,8.988000999999997,0.43950000000000244,0.5320000000000054
2007-02-01,9.05,9.042001,9.025001,0.401999,0.4845010000000034
2007-03-01,9.304501,9.290001,9.2665,0.08549999999999969,0.17700100000000418
2007-04-02,9.363501,9.35,9.335501,0.06549899999999909,0.18500100000000508
2007-05-01,9.137501,9.125501,9.1055,0.25,0.34850000000000314
2007-06-01,9.317,9.3035,9.2655,0.11000100000000046,0.17600100000000296
2007-07-02,9.2565,9.2465,9.234501,0.22250000000000014,0.29700200000000265
2007-08-01,9.242001,9.234501,9.235001,0.23699899999999907,0.31250100000000103
2007-09-04,9.397,9.3865,9.378,0.0720010000000002,0.12200200000000017
