trade_date,spot,f2m,f1y,ret1yl,roll1y
2002-06-03,1.6431,1.6493,1.6751,0.11480000000000001,0.04799999999999982
2002-07-01,1.7647,1.7722,1.8014,-0.08519999999999994,-0.1523000000000001
2002-08-01,1.8254,1.8331,1.8616,-0.12769999999999992,-0.1983999999999999
2002-09-03,1.8187,1.8257,1.8508,-0.1503000000000001,-0.22819999999999996
2002-10-01,1.8162,1.8243,1.8544,-0.13949999999999996,-0.2155999999999998
2002-11-01,1.7869,1.7943,1.8217,-0.17700000000000005,-0.2606999999999997
2002-12-02,1.7817,1.7895,1.8195,-0.17149999999999999,-0.2567999999999999
2003-01-02,1.846,1.855,1.891,-0.22019999999999995,-0.30389999999999984
2003-02-03,1.8456,1.8546,1.8894,-0.24449999999999994,-0.3342999999999998
2003-03-03,1.7724,1.7819999999999998,1.8154,-0.1997,-0.29589999999999983
2003-04-01,1.8103,1.8204,1.8561,-0.24009999999999998,-0.33809999999999985
2003-05-01,1.7842,1.7936,1.8263,-0.16579999999999995,-0.2710999999999997
2003-06-02,1.7899,1.8011,1.8365,-0.1068,-0.21279999999999966
2003-07-01,1.7162,1.7268,1.763,-0.026899999999999924,-0.13599999999999968
2003-08-01,1.7339,1.7447,1.7813,-0.06400000000000006,-0.1770999999999998
2003-09-02,1.7005,1.7118,1.7495,-0.015600000000000058,-0.13059999999999983
2003-10-01,1.7149,1.7272,1.7681,-0.047900000000000054,-0.16199999999999992
2003-11-03,1.6447,1.6567,1.6966,0.016599999999999948,-0.09979999999999989
2003-12-01,1.648,1.6614,1.7054,0.013700000000000045,-0.09889999999999977
2004-01-02,1.6708,1.6847,1.7314,0.008799999999999919,-0.10069999999999979
2004-02-02,1.6449,1.6595,1.7093,-0.019500000000000073,-0.12799999999999967
2004-03-01,1.6157,1.6299,1.6784,0.000700000000000145,-0.1084999999999996
2004-04-01,1.616,1.6297,1.6759,0.01100000000000012,-0.10199999999999965
2004-05-03,1.6605,1.6751,1.7283,-0.07230000000000003,-0.18019999999999992
2004-06-01,1.7297,1.7442,1.7882,-0.1560999999999999,-0.27449999999999974
2004-07-01,1.7361,1.7513,1.7941,-0.1894,-0.3093999999999997
2004-08-02,1.7173,1.7316,1.7751,-0.16779999999999995,-0.28729999999999967
2004-09-01,1.7339,1.7485,1.7901,-0.1503000000000001,-0.27119999999999966
2004-10-01,1.7202,1.7335,1.7713,-0.19840000000000013,-0.3230999999999997
2004-11-01,1.7132,1.7269,1.7679,-0.1493,-0.2698999999999998
2004-12-01,1.7191,1.7326,1.7718,-0.1866000000000001,-0.3082999999999998
2005-01-03,1.7402,1.7569,1.8088,-0.17609999999999992,-0.27969999999999984
2005-02-01,1.6898,1.7034,1.7451,-0.13850000000000007,-0.25139999999999985
2005-03-01,1.6791,1.6943,1.7385,-0.13619999999999988,-0.24429999999999974
2005-04-01,1.6869,1.7034,1.7465,-0.039799999999999836,-0.14479999999999982
2005-05-02,1.656,1.6718,1.7144,-0.05159999999999987,-0.15219999999999967
2005-06-01,1.6321,1.6477,1.6902,0.024800000000000155,-0.07189999999999985
2005-07-01,1.6047,1.6192,1.6618,0.07050000000000001,-0.023900000000000032
2005-08-01,1.6073,1.6214,1.6622,0.016900000000000137,-0.07739999999999991
2005-09-01,1.6398,1.6531,1.6919,-0.015600000000000058,-0.11060000000000003
2005-10-03,1.5729,1.5857,1.6279,0.08390000000000009,-0.006600000000000161
2005-11-01,1.6186,1.6314,1.6729,-0.02190000000000003,-0.11099999999999999
2005-12-01,1.5852,1.5965,1.6326,0.059599999999999875,-0.0343
2006-01-03,1.6327,1.6454,1.6789,-0.0008999999999999009,-0.09589999999999987
2006-02-01,1.6066,1.6195,1.6529,0.035399999999999876,-0.05719999999999992
2006-03-01,1.6023,1.6146,1.6444,0.037799999999999834,-0.05630000000000002
2006-04-03,1.7067,1.7176,1.7471,-0.10170000000000012,-0.19510000000000005
2006-05-01,1.6628,1.6744,1.7057,-0.05719999999999992,-0.1471
2006-06-01,1.715,1.7273,1.7611,-0.1454000000000002,-0.22950000000000004
2006-07-03,1.7323,1.7445,1.779,-0.18699999999999983,-0.2667999999999999
2006-08-01,1.6791,1.6911,1.7227,-0.1086999999999998,-0.1876
2006-09-01,1.6763,1.6880000000000002,1.7168,-0.06260000000000021,-0.14139999999999997
2006-10-02,1.7118,1.7225,1.7487,-0.1499999999999999,-0.2305999999999997
2006-11-01,1.651,1.6617,1.6862,-0.1057999999999999,-0.18649999999999967
2006-12-01,1.6922,1.7034,1.7355,-0.06990000000000007,-0.14199999999999968
2007-01-02,1.6780000000000002,1.6884,1.7201,-0.04479999999999995,-0.11729999999999974
2007-02-01,1.6883,1.6985,1.732,-0.08979999999999988,-0.16149999999999975
2007-03-01,1.6822,1.6921,1.7246,-0.10159999999999969,-0.17749999999999955
2007-04-02,1.6454,1.6553,1.6837,0.0504,-0.034199999999999564
2007-05-01,1.6485,1.6575,1.6855,-0.0233000000000001,-0.11329999999999973
2007-06-01,1.6157,1.6243,1.6509,-0.01890000000000014,-0.11459999999999981
2007-07-02,1.592,1.6002,1.6246,0.04349999999999987,-0.058699999999999974
2007-08-01,1.614,1.6228,1.6476,0.02939999999999987,-0.0757000000000001
2007-09-04,1.6542,1.6641,1.6902,0.044499999999999984,-0.059700000000000086
2007-10-01,1.5987,1.6078,1.6389,0.14949999999999997,0.04899999999999971
2007-11-01,1.5804,1.5906,1.6269999999999998,0.23160000000000025,0.13499999999999956
2007-12-03,1.6656,1.676,1.7142,0.25070000000000014,0.1590999999999998
2008-01-02,1.6753,1.6865,1.7242,0.2329000000000001,0.1449999999999998
2008-02-01,1.6422,1.6553,1.7011,0.3385,0.2670999999999999
2008-03-03,1.6230000000000002,1.6375,1.6881,0.30710000000000015,0.24929999999999963
2008-04-01,1.7341,1.7481,1.7912,0.11540000000000017,0.05389999999999984
2008-05-01,1.6622,1.6751,1.7165,0.10460000000000003,0.04469999999999996
2008-06-02,1.632,1.6445,1.6832,0.06559999999999988,0.006799999999999917
2008-07-01,1.6681,1.6802,1.7193,0.0383,-0.017999999999999794
2008-08-01,1.6769999999999998,1.6873,1.7225,-0.0029999999999998916,-0.06439999999999957
2008-09-02,1.7347,1.7451,1.7737,-0.05289999999999995,-0.12279999999999935
2008-10-01,1.7884,1.8,1.8304,-0.1511,-0.22019999999999929
2008-11-03,1.8586,1.8658,1.896,-0.25319999999999987,-0.3295999999999992
2008-12-01,1.9649,1.9719,1.9949,-0.3627999999999998,-0.4549999999999994
2009-01-02,1.9571,1.9618,1.9841,-0.39169999999999994,-0.4945999999999995
2009-02-02,2.0396,2.0453,2.0645,-0.49519999999999986,-0.6115999999999997
2009-03-02,1.9952,2.0054,2.0299,-0.5206999999999999,-0.6369999999999996
2009-04-01,1.9066,1.9162,1.9437,-0.4558,-0.5738999999999999
2009-05-01,1.8211,1.8298,1.8564,-0.42379999999999995,-0.5501999999999998
2009-06-01,1.7488,1.7588,1.7882,-0.3232999999999999,-0.45249999999999946
2009-07-01,1.7576,1.7691,1.8066,-0.30899999999999994,-0.43549999999999955
2009-08-03,1.7195,1.7318,1.7761,-0.32630000000000003,-0.44989999999999974
2009-09-01,1.7208,1.7334,1.7819,-0.37139999999999995,-0.49329999999999985
2009-10-01,1.6793,1.6936,1.7453,-0.31610000000000005,-0.43559999999999977
2009-11-02,1.6428,1.6584,1.7119,-0.29590000000000005,-0.41379999999999995
2009-12-01,1.6321,1.6468,1.6947,-0.3367,-0.4596999999999998
2010-01-04,1.5924,1.6085,1.6588,-0.33610000000000007,-0.4551999999999998
2010-02-01,1.5693,1.5847,1.6329,-0.2612000000000001,-0.3819999999999997
2010-03-01,1.5092,1.5236,1.5725,-0.21209999999999996,-0.33189999999999964
2010-04-01,1.4879,1.504,1.5562,-0.17569999999999997,-0.2899999999999996
2010-05-03,1.4326,1.4482,1.4991,-0.13880000000000003,-0.25209999999999955
2010-06-01,1.4649,1.4818,1.5314,-0.18070000000000008,-0.29129999999999967
2010-07-01,1.4976,1.5138,1.5617,-0.20640000000000014,-0.3160999999999998
2010-08-02,1.4498,1.4649,1.513,-0.20419999999999994,-0.30989999999999984
2010-09-01,1.4105,1.4256,1.4722,-0.14149999999999996,-0.24539999999999984
2010-10-01,1.4292,1.445,1.4969,-0.10319999999999996,-0.19920000000000004
2010-11-01,1.416,1.4302,1.4773,-0.14480000000000004,-0.24409999999999998
2010-12-01,1.358,1.3726,1.4197,-0.10309999999999997,-0.20120000000000027
2011-01-03,1.3227,1.3377,1.3868,-0.11840000000000006,-0.21360000000000023
2011-02-01,1.3717,1.3858,1.4275,-0.19100000000000006,-0.29200000000000026
2011-03-01,1.3604,1.3743,1.4153,-0.17920000000000003,-0.27920000000000034
