trade_date,spot,f2m,f1y,ret1yl,roll1y
2002-06-03,1.433,1.4304,1.4277,0.1835,0.17400000000000038
2002-07-01,1.4971,1.4952,1.4936,0.07289999999999996,0.05810000000000026
2002-08-01,1.5645,1.5627,1.5592,0.017900000000000027,-0.0041999999999997595
2002-09-03,1.5459,1.5448,1.5434,-0.03770000000000007,-0.06109999999999971
2002-10-01,1.5530000000000002,1.5529,1.5541,0.02519999999999989,0.0020000000000000018
2002-11-01,1.5526,1.5515,1.5509,-0.021199999999999886,-0.04899999999999993
2002-12-02,1.5531,1.5527,1.5545,0.00649999999999995,-0.020999999999999908
2003-01-02,1.6263,1.6266,1.634,-0.008599999999999941,-0.032299999999999995
2003-02-03,1.6331,1.6347,1.6457,0.016100000000000003,-0.0034000000000000696
2003-03-03,1.616,1.6188,1.6328,0.03489999999999993,0.02059999999999973
2003-04-01,1.6067,1.6111,1.6269999999999998,-0.012699999999999712,-0.02110000000000012
2003-05-01,1.5964,1.6005,1.6151,0.023800000000000043,0.018199999999999772
2003-06-02,1.6112,1.6157,1.6297,0.04290000000000016,0.041899999999999826
2003-07-01,1.5665,1.5701,1.5833,0.03649999999999998,0.03819999999999957
2003-08-01,1.5771,1.5794,1.5871,0.014900000000000135,0.013099999999999667
2003-09-02,1.5057,1.508,1.5145,0.07719999999999994,0.07589999999999941
2003-10-01,1.5793,1.581,1.5875,-0.01969999999999983,-0.02030000000000043
2003-11-03,1.5297,1.5314,1.5352,0.022199999999999998,0.018499999999999295
2003-12-01,1.561,1.5631,1.5681,0.009299999999999864,0.006799999999999251
2004-01-02,1.6254,1.6264,1.6303,-0.0015000000000000568,-0.0058000000000006935
2004-02-02,1.6618,1.6624,1.6651,-0.04909999999999992,-0.05550000000000055
2004-03-01,1.6677,1.6681,1.6689,-0.03210000000000002,-0.041300000000000336
2004-04-01,1.6143,1.6143,1.6161,-0.044600000000000195,-0.05440000000000067
2004-05-03,1.6389,1.6382,1.64,-0.024899999999999922,-0.03780000000000072
2004-06-01,1.6726,1.6727,1.6769,-0.1523000000000001,-0.16470000000000073
2004-07-01,1.6198,1.6201,1.6256,-0.13959999999999995,-0.15240000000000054
2004-08-02,1.602,1.6026,1.6086,-0.13180000000000014,-0.1457000000000006
2004-09-01,1.5917,1.5927,1.5992,-0.12019999999999986,-0.13510000000000044
2004-10-01,1.5678,1.5699,1.5766,-0.18589999999999995,-0.20080000000000053
2004-11-01,1.5574,1.5595,1.5669,-0.15459999999999985,-0.16970000000000018
2004-12-01,1.5774,1.5791,1.5859,-0.21950000000000003,-0.2367999999999999
2005-01-03,1.6288,1.6303,1.6353,-0.24320000000000008,-0.26380000000000003
2005-02-01,1.616,1.6173,1.6218,-0.24499999999999988,-0.2691000000000001
2005-03-01,1.6368,1.6384,1.643,-0.2896000000000001,-0.31620000000000026
2005-04-01,1.5715,1.5739,1.5832,-0.15649999999999986,-0.18019999999999992
2005-05-02,1.6151,1.6171,1.6265,-0.22060000000000013,-0.2457999999999998
2005-06-01,1.5246,1.5266,1.5353,-0.12330000000000019,-0.1510999999999998
2005-07-01,1.486,1.4882,1.4969,-0.07399999999999984,-0.10399999999999987
2005-08-01,1.4768,1.4793,1.4891,-0.03839999999999999,-0.06899999999999973
2005-09-01,1.479,1.4813,1.4913,-0.07069999999999999,-0.10199999999999965
2005-10-03,1.3907,1.3937,1.4061,0.01790000000000025,-0.011099999999999444
2005-11-01,1.4123,1.4156,1.4279,0.021500000000000075,-0.005999999999999561
