trade_date,spot,f2m,f1y,ret1yl,roll1y
2010-06-01,40.75,40.75,43.5,13.5,16.299999999999997
2010-07-01,41.75,41.75,44.0,7.649999999999999,9.949999999999996
2010-08-02,45.25,45.5,46.25,5.600000000000001,6.649999999999999
2010-09-01,46.05,46.0,47.0,2.6499999999999986,3.8999999999999986
2010-10-01,46.5,46.5,49.0,3.049999999999997,5.799999999999997
2010-11-01,52.0,51.5,53.5,-1.5,0.25
2010-12-01,61.0,61.0,63.0,-11.25,-9.5
2011-01-03,62.75,62.75,65.0,-12.75,-10.75
2011-02-01,72.0,72.0,74.25,-22.1,-20.1
2011-03-01,69.25,69.5,71.0,-19.0,-17.5
2011-04-01,59.0,59.0,61.0,-9.75,-7.799999999999997
2011-05-02,55.25,55.25,56.75,-5.0,-3.549999999999997
2011-06-01,57.0,57.0,57.75,-6.75,-6.049999999999997
2011-07-01,51.65,51.65,52.9,-2.1499999999999986,-0.9499999999999957
2011-08-01,51.85,51.85,53.15,-3.6499999999999986,-2.3999999999999986
2011-09-01,49.65,49.65,50.85,-2.700000000000003,-1.5499999999999972
2011-10-03,52.05,52.05,53.5,-7.75,-6.349999999999994
2011-11-01,52.0,52.0,54.3,-13.299999999999997,-11.049999999999997
2011-12-01,51.75,51.75,53.75,-11.25,-9.299999999999997
2012-01-03,52.25,52.25,54.2,-10.950000000000003,-9.049999999999997
2012-02-01,52.15,52.15,53.7,-9.800000000000004,-8.299999999999997
2012-03-01,52.0,52.05,53.75,-11.75,-10.049999999999997
2012-04-02,51.25,51.25,53.05,-10.799999999999997,-9.0
2012-05-01,51.75,51.75,53.5,-13.0,-11.25
2012-06-01,51.0,51.0,52.75,-12.600000000000001,-10.850000000000001
2012-07-02,50.75,50.75,52.4,-12.899999999999999,-11.25
2012-08-01,49.5,49.5,51.1,-16.1,-14.5
2012-09-04,48.15,48.15,49.7,-15.700000000000003,-14.149999999999999
2012-10-01,45.75,45.75,47.25,-12.049999999999997,-10.649999999999999
2012-11-01,41.0,41.0,42.35,-8.050000000000004,-6.800000000000004
2012-12-03,42.5,42.5,43.9,-7.899999999999999,-6.750000000000007
2013-01-02,43.25,43.25,44.9,-10.649999999999999,-9.250000000000007
2013-02-01,43.9,43.9,45.3,-9.599999999999994,-8.600000000000001
2013-03-01,42.0,42.0,43.45,-8.300000000000004,-7.350000000000001
2013-04-01,42.25,42.25,43.75,-9.350000000000001,-8.450000000000003
2013-05-01,40.5,40.5,41.9,-11.75,-11.000000000000007
2013-06-03,40.15,40.15,41.15,-12.899999999999999,-12.550000000000004
2013-07-01,39.5,39.5,40.7,-12.400000000000002,-11.850000000000005
2013-08-01,35.0,35.0,36.2,-7.450000000000003,-6.900000000000006
2013-09-03,34.0,34.1,35.2,-2.5500000000000043,-2.000000000000007
2013-10-01,35.2,35.2,36.5,-1.2000000000000028,-0.45000000000000995
2013-11-01,34.3,34.45,35.5,1.25,1.8999999999999986
2013-12-02,36.0,36.0,37.3,1.4500000000000028,2.3500000000000014
2014-01-02,34.25,34.4,35.75,-0.5,0.6000000000000014
2014-02-03,35.7,35.8,37.4,0.05000000000000426,1.5
2014-03-03,35.15,35.25,37.05,1.9500000000000028,3.6999999999999957
2014-04-01,34.4,34.45,35.85,3.6499999999999986,5.049999999999997
2014-05-01,30.15,30.15,31.6,4.049999999999997,5.450000000000003
2014-06-02,28.25,28.25,29.5,5.899999999999999,7.049999999999997
2014-07-01,28.3,28.3,29.65,6.600000000000001,7.849999999999998
2014-08-01,28.75,28.75,30.05,5.199999999999999,6.399999999999999
2014-09-02,32.65,32.65,34.55,2.4000000000000057,4.200000000000003
2014-10-01,35.3,35.3,36.85,-0.3999999999999986,1.0500000000000043
2014-11-03,36.75,36.75,38.55,-2.799999999999997,-1.1499999999999986
2014-12-01,38.75,38.75,40.7,-4.600000000000001,-2.799999999999997
2015-01-02,35.25,35.25,37.1,-2.6499999999999986,-0.9499999999999957
2015-02-02,37.45,37.45,39.35,-4.75,-3.0
2015-03-02,39.0,39.0,41.3,-9.149999999999999,-7.049999999999997
2015-04-01,39.5,39.55,41.4,-13.599999999999998,-11.95
2015-05-01,35.65,35.7,37.1,-9.450000000000003,-8.3
2015-06-01,35.4,35.4,37.15,-9.899999999999999,-8.399999999999995
2015-07-01,36.25,36.25,37.9,-11.399999999999999,-10.049999999999997
2015-08-03,35.25,35.25,36.6,-10.350000000000001,-9.299999999999997
2015-09-01,36.95,36.95,38.55,-12.899999999999999,-11.600000000000001
2015-10-01,36.45,36.5,38.15,-15.75,-14.350000000000001
2015-11-02,35.75,35.75,37.3,-18.4,-17.1
2015-12-01,36.1,36.1,37.65,-19.65,-18.35
2016-01-04,34.45,34.45,36.35,-15.850000000000001,-14.200000000000003
2016-02-01,34.6,34.65,36.2,-11.200000000000003,-9.850000000000001
2016-03-01,32.15,32.2,33.65,-9.149999999999999,-7.850000000000001
2016-04-01,27.8,27.9,28.8,-5.300000000000001,-4.449999999999999
2016-05-02,27.65,27.65,28.75,-6.100000000000001,-5.050000000000001
2016-06-01,27.25,27.3,28.15,-8.649999999999999,-7.800000000000001
2016-07-01,26.5,26.5,27.4,-7.149999999999999,-6.25
2016-08-01,26.25,26.25,30.85,-10.700000000000003,-6.100000000000001
