trade_date,spot,f2m,f1y,ret1yl,roll1y
2004-10-08,31480,30620,26380,10980.0,17740.0
2004-11-01,29390,28400,23970,14100.0,20090.0
2004-12-01,31600,29910,25140,17550.0,22000.0
2005-01-04,30310,29580,25230,23310.0,27550.0
2005-02-01,31700,30620,26100,20280.0,23700.0
2005-03-01,31940,31360,26700,23660.0,26960.0
2005-04-01,33630,32570,28500,41620.0,44640.0
2005-05-09,35550,33660,28470,42570.0,42330.0
2005-06-01,32410,30890,26040,38240.0,37470.0
2005-07-01,34170,33210,26700,41730.0,38200.0
2005-08-01,35450,35080,29330,40810.0,37310.0
2005-09-01,35150,35020,31540,39740.0,39220.0
2005-11-01,37360,36950,32850,37200.0,36300.0
2005-12-01,38070,37580,34250,32130.0,31850.0
2006-01-04,42690,42590,37860,22670.0,21240.0
2006-02-06,48540,48110,40600,14440.0,12380.0
2006-03-01,46380,45780,41140,16550.0,17890.0
2006-04-03,50360,50170,47250,15700.0,18600.0
2006-05-08,70120,70370,66260,5470.0,7160.0
2006-06-01,71040,70390,67760,-2950.0,-790.0
2006-07-03,64280,64420,58630,4530.0,3090.0
2006-08-01,68430,68790,65710,1780.0,2790.0
2006-09-01,70140,69300,68000,-2960.0,-1600.0
2006-10-09,71280,70630,66610,670.0,-1550.0
2006-11-01,70050,69710,66110,-1750.0,-4380.0
2006-12-01,66380,66030,63210,-2900.0,-5410.0
2007-01-04,60530,57950,54720,3920.0,-700.0
2007-02-01,55040,53910,48090,14670.0,6820.0
2007-03-01,57690,57660,56420,11900.0,9180.0
2007-04-02,62950,63220,61080,3960.0,-60.0
2007-05-08,71730,72090,68900,-4240.0,-8630.0
2007-06-01,64810,65390,64010,-3040.0,-5060.0
2007-07-02,63160,63780,62660,610.0,-410.0
2007-08-01,67490,68080,67750,-6030.0,-5690.0
2007-09-03,65040,65250,63380,-3670.0,-4560.0
2007-10-08,67280,67770,67240,-13420.0,-11950.0
2007-11-01,64360,64670,64360,-30990.0,-27460.0
2007-12-03,60310,59430,56690,-27070.0,-26310.0
2008-01-03,58640,58150,56890,-30840.0,-27880.0
