trade_date,spot,f2m,f1y,ret1yl,roll1y
2014-02-07,4420,4308,4412,-766.0,-988.0
2014-03-03,4018,4126,4350,-1800.0,-778.0
2014-04-01,4000,4074,4252,-1672.0,-652.0
2014-05-05,4068,4194,4274,-1014.0,-464.0
2014-06-03,3996,4224,4234,-1222.0,-502.0
2014-07-01,4240,4194,4330,-1558.0,-800.0
2014-08-01,4250,4246,4308,-1868.0,-1464.0
2014-09-01,4274,4320,4306,-1886.0,-1562.0
2014-10-08,4210,4300,4336,-1896.0,-1484.0
2014-11-03,4468,4078,4218,-1748.0,-1614.0
2014-12-01,3656,3794,3542,-1610.0,-1446.0
2015-01-05,3518,3474,3356,-1720.0,-1410.0
2015-02-02,3646,2630,2972,-1220.0,-1518.0
2015-03-02,2550,2580,3320,-1694.0,-1520.0
2015-04-01,2580,3078,3422,-1740.0,-1520.0
2015-05-04,3260,3248,3570,-1784.0,-1644.0
2015-06-01,3012,3054,3538,-1836.0,-1552.0
2015-07-01,2772,3048,3114,-1148.0,-1048.0
2015-08-03,2440,2490,2554,-718.0,-614.0
2015-09-01,2420,2472,2516,-838.0,-770.0
2015-10-08,2440,2432,2422,-648.0,-690.0
2015-11-02,2470,2186,2294,-282.0,-524.0
2015-12-01,1932,1876,2094,386.0,152.0
2016-01-04,1636,1688,1942,572.0,356.0
2016-02-01,1752,1708,1830,924.0,504.0
2016-03-01,1626,1682,1964,696.0,460.0
2016-04-01,1682,1728,2120,382.0,270.0
2016-05-03,1786,1846,2160,106.0,-68.0
2016-06-01,1702,1744,2118,214.0,60.0
2016-07-01,1966,2010,2392,218.0,80.0
