trade_date,spot,f2m,f1y,ret1yl,roll1y
2015-07-01,87040,87850,91050,-18120.0,-19460.0
2015-08-03,80850,81790,84520,-3070.0,-5270.0
2015-09-01,74870,75270,77810,-720.0,-2520.0
2015-10-08,76230,76970,81590,410.0,1070.0
2015-11-02,77000,76650,79550,10450.0,8270.0
2015-12-01,69180,69650,72330,12450.0,9310.0
2016-01-04,68440,68020,72740,10290.0,8340.0
2016-02-01,68350,68940,71580,18820.0,14260.0
2016-03-01,66670,66970,69920,12580.0,9030.0
2016-04-01,66100,66450,69710,8640.0,4320.0
2016-05-03,72830,73750,75940,-3870.0,-8300.0
2016-06-01,65980,66580,69620,6680.0,3350.0
2016-07-01,72930,74260,77180,5570.0,2740.0
