trade_date,spot,f2m,f1y,ret1yl,roll1y
2009-09-01,3996,4067,4334,-114.0,-938.0
2009-10-09,3449,3578,4085,165.0,-288.0
2009-11-02,3600,3732,4255,10.0,-284.0
2009-12-01,3634,3769,4667,84.0,216.0
2010-01-04,3942,4044,4759,174.0,337.0
2010-02-01,3875,4015,4694,477.0,811.0
2010-03-01,3877,4051,4749,201.0,781.0
2010-04-01,4305,4409,4866,-166.0,317.0
2010-05-04,4305,4382,4837,103.0,609.0
2010-06-01,3993,4003,4508,480.0,1048.0
2010-07-01,3823,3888,4302,930.0,1471.0
2010-08-02,4030,4053,4522,472.0,1364.0
2010-09-01,4220,4218,4558,147.0,848.0
2010-10-08,4250,4239,4490,70.0,440.0
2010-11-01,4265,4349,4682,-266.0,605.0
2010-12-01,4751,4639,4763,-449.0,147.0
2011-01-04,4933,4866,4880,-646.0,-207.0
2011-02-01,5171,5118,5148,-948.0,-587.0
2011-03-01,4950,4910,4901,-662.0,-453.0
2011-04-01,4700,4752,4909,-636.0,-281.0
2011-05-03,4940,4938,4989,-943.0,-705.0
2011-06-01,4988,4989,4954,-804.0,-758.0
2011-07-01,5232,4959,4714,-1033.0,-1476.0
2011-08-01,4994,5054,4955,-1497.0,-1811.0
2011-09-01,4705,4936,4831,-1151.0,-1230.0
2011-11-01,4560,4225,4139,-363.0,-647.0
2011-12-01,4416,4370,4142,-539.0,-996.0
2012-01-04,4314,4294,4217,-350.0,-654.0
2012-02-01,4234,4275,4324,-428.0,-516.0
2012-03-01,4200,4273,4301,-531.0,-617.0
2012-04-05,4239,4311,4325,-694.0,-859.0
2012-05-02,4273,4282,4265,-822.0,-1069.0
2012-06-01,4046,4153,4122,-945.0,-1124.0
2012-07-02,4150,4156,4063,-901.0,-1319.0
2012-08-01,3681,3758,3838,-457.0,-824.0
2012-09-03,3458,3448,3547,-77.0,-564.0
2012-10-08,3680,3569,3753,-334.0,-943.0
2012-11-01,3776,3761,3715,-419.0,-1293.0
2012-12-03,3603,3581,3614,-127.0,-1028.0
2013-01-04,3867,3818,4030,-704.0,-1549.0
2013-02-01,3896,3946,4213,-1018.0,-1779.0
2013-03-01,3770,3907,3995,-957.0,-1869.0
2013-04-01,3631,3691,3797,-546.0,-1576.0
2013-05-02,3443,3468,3681,-373.0,-1278.0
2013-06-03,3177,3360,3600,-706.0,-1356.0
2013-07-01,3162,3361,3629,-879.0,-1350.0
2013-08-01,3381,3510,3715,-662.0,-1325.0
2013-09-02,3470,3566,3901,-1077.0,-1571.0
2013-10-08,3419,3439,3703,-1208.0,-1782.0
2013-11-01,3296,3380,3715,-1093.0,-1520.0
2013-12-02,3487,3561,3718,-1090.0,-1601.0
2014-01-02,3326,3347,3678,-1109.0,-1404.0
2014-02-07,3195,3304,3550,-1375.0,-1617.0
2014-03-03,3038,3234,3506,-1374.0,-1484.0
2014-04-01,3251,3258,3350,-1085.0,-1585.0
2014-05-05,3308,3263,3216,-1013.0,-1816.0
2014-06-03,2894,2942,3100,-1028.0,-1654.0
2014-07-01,2750,3008,3109,-1257.0,-1736.0
2014-08-01,3053,3110,3113,-1080.0,-1747.0
2014-09-01,2824,2853,2964,-944.0,-1527.0
2014-10-08,2495,2503,2611,-832.0,-1359.0
2014-11-03,2622,2602,2583,-806.0,-1481.0
2014-12-01,2628,2607,2499,-839.0,-1620.0
2015-01-05,2569,2540,2598,-742.0,-1335.0
2015-02-02,2175,2265,2539,-747.0,-925.0
2015-03-02,2132,2349,2563,-730.0,-751.0
2015-04-01,2265,2384,2412,-120.0,-310.0
2015-05-04,2203,2279,2486,274.0,344.0
2015-06-01,2072,2126,2501,-597.0,-107.0
2015-07-01,1852,1999,2315,-107.0,419.0
2015-08-03,2033,2086,2105,238.0,462.0
2015-09-01,2020,1969,1982,427.0,490.0
2015-10-08,1779,1780,1891,541.0,693.0
2015-11-02,1777,1773,1822,1210.0,1114.0
2015-12-01,1660,1609,1635,1319.0,1164.0
2016-01-04,1856,1747,1813,1437.0,1272.0
2016-02-01,1792,1792,1834,2011.0,1904.0
2016-03-01,1833,1935,1927,1884.0,2066.0
2016-04-01,2292,2287,2069,1401.0,1718.0
2016-05-03,2760,2562,2371,1628.0,1991.0
2016-06-01,1904,1956,1952,1848.0,2832.0
2016-07-01,2208,2266,2290,1657.0,2955.0
