trade_date,spot,f2m,f1y,ret1yl,roll1y
2009-03-02,14270,13645,12200,12270.0,8185.0
2009-04-01,13670,13685,13950,10845.0,8330.0
2009-05-04,14865,14980,16020,8070.0,6535.0
2009-06-01,14850,15070,16060,7855.0,6445.0
2009-07-01,14955,15065,16420,7240.0,6860.0
2009-08-03,17010,17170,19785,4425.0,6230.0
2009-09-01,16580,16725,19220,6280.0,7965.0
2009-10-09,17540,17870,19840,7730.0,9370.0
2009-11-02,18215,18960,19780,10590.0,11875.0
2009-12-01,21305,21725,21805,9140.0,9515.0
2010-01-04,23785,23975,24340,12135.0,13005.0
2010-02-01,22210,22400,23505,17560.0,18935.0
2010-03-01,24470,24625,25690,14070.0,15315.0
2010-04-01,24795,24705,24985,11795.0,12275.0
2010-05-04,24090,24135,23675,11915.0,12375.0
2010-06-01,23915,23360,22675,12435.0,13170.0
2010-07-01,23660,22895,21825,11165.0,11920.0
2010-08-02,24210,24355,24775,10015.0,12855.0
2010-09-01,25500,25350,26000,7525.0,10405.0
2010-10-08,27570,27520,27015,780.0,2190.0
2010-11-01,30370,30960,30900,-3730.0,-565.0
2010-12-01,30945,30925,29500,-2935.0,-920.0
2011-01-04,36475,36900,37150,-9355.0,-4430.0
2011-02-01,41065,41310,39105,-9695.0,-6980.0
2011-03-01,39760,39650,37765,-8725.0,-5675.0
2011-04-01,36780,36105,35035,-6735.0,-2435.0
2011-05-03,35590,34535,32550,-8430.0,-5670.0
2011-06-01,35110,33940,33875,-10315.0,-6810.0
2011-07-01,32990,32540,32905,-10350.0,-6840.0
2011-08-01,34790,34830,36325,-15035.0,-10410.0
2011-09-01,33525,33790,34175,-10455.0,-6955.0
2011-11-01,27795,27075,27260,-3225.0,-790.0
2011-12-01,27170,26935,25670,-1805.0,-1850.0
2012-01-04,26565,25755,23475,2390.0,255.0
2012-02-01,27795,27795,27180,-1450.0,-2080.0
2012-03-01,29410,29285,28990,-5405.0,-6215.0
2012-04-05,29040,27930,27540,-6445.0,-8895.0
2012-05-02,28300,27870,27600,-9180.0,-12115.0
2012-06-01,24120,24125,24015,-5515.0,-8340.0
2012-07-02,23560,23535,23350,-6650.0,-9765.0
2012-08-01,22555,22610,22615,-5735.0,-8835.0
2012-09-03,21290,21570,22270,-3115.0,-5355.0
2012-10-08,23720,23865,24825,-6560.0,-8595.0
2012-11-01,24035,24830,23980,-6625.0,-9740.0
2012-12-03,23865,24130,23470,-4480.0,-9080.0
2013-01-04,25865,26025,26405,-8895.0,-12590.0
2013-02-01,25730,26105,26300,-11130.0,-14920.0
2013-03-01,23585,24020,23980,-9785.0,-13500.0
2013-04-01,21095,21270,22450,-7300.0,-9740.0
2013-05-02,18420,18475,19470,-5610.0,-8310.0
2013-06-03,18500,18690,19865,-6080.0,-8540.0
2013-07-01,16700,16930,18525,-3965.0,-5935.0
2013-08-01,16880,16995,18185,-4340.0,-6715.0
2013-09-02,19155,19355,21195,-8705.0,-10390.0
2013-10-08,18265,18330,20805,-9860.0,-10900.0
2013-11-01,17355,19295,19875,-8460.0,-9545.0
2013-12-02,18990,19285,19795,-7350.0,-9935.0
2014-01-02,17510,17795,18135,-4375.0,-6745.0
2014-02-07,15170,15295,16840,-3685.0,-4495.0
2014-03-03,14195,14315,16060,-2255.0,-2645.0
2014-04-01,15150,15280,16845,-3795.0,-4490.0
2014-05-05,13860,13990,15600,-1160.0,-1715.0
2014-06-03,13785,13945,15930,-1145.0,-1100.0
2014-07-01,14560,14675,16615,-3725.0,-3475.0
2014-08-01,13845,14005,15915,-4015.0,-3635.0
2014-09-01,12490,12545,15000,-4920.0,-4165.0
2014-10-08,10945,11035,13290,-2810.0,-2295.0
2014-11-03,11415,13140,13670,-4110.0,-3685.0
2014-12-01,12445,12345,12220,-1160.0,-2810.0
2015-01-05,13760,13530,12875,-1540.0,-3010.0
2015-02-02,13155,13055,13435,-3280.0,-2855.0
2015-03-02,13805,14060,14070,-3985.0,-3695.0
2015-04-01,13050,13085,13575,-2665.0,-1975.0
2015-05-04,14440,14375,15975,-3660.0,-2040.0
2015-06-01,14785,14650,16395,-6405.0,-4875.0
2015-07-01,12890,12890,14520,-3315.0,-1980.0
2015-08-03,11900,12125,13035,-2225.0,-1550.0
2015-09-01,10080,10210,11845,-1730.0,-320.0
2015-10-08,10480,10570,11780,210.0,1215.0
2015-11-02,9560,10880,11120,6425.0,5580.0
2015-12-01,11060,10120,9750,8285.0,5480.0
2016-01-04,11335,10375,10195,10155.0,6470.0
2016-02-01,10155,10175,11280,6990.0,4690.0
2016-03-01,10085,10200,11660,4140.0,1790.0
2016-04-01,10910,11025,12760,1915.0,-540.0
2016-05-03,12315,12415,14195,-2045.0,-4470.0
2016-06-01,9990,10070,11890,1405.0,-1075.0
2016-07-01,11205,11370,13450,-905.0,-3125.0
