trade_date,spot,f2m,f1y,ret1yl,roll1y
2015-07-01,106290,107210,112830,-4320.0,-1010.0
2015-08-03,110240,110600,109800,8120.0,-2510.0
2015-09-01,100030,100290,103510,19710.0,11750.0
2015-10-08,96910,95920,98200,25810.0,16140.0
2015-11-02,92130,93450,95810,52840.0,35720.0
2015-12-01,83020,85330,83890,64050.0,50400.0
2016-01-04,93080,92920,88980,55010.0,36110.0
2016-02-01,94410,94230,98160,46700.0,36130.0
2016-03-01,101900,107560,109500,31730.0,20080.0
2016-04-01,110400,104550,111890,31080.0,17150.0
2016-05-03,109300,107800,112950,29200.0,11990.0
2016-06-01,106540,107620,116050,25910.0,11050.0
2016-07-01,108510,116390,114620,30370.0,12420.0
