trade_date,spot,f2m,f1y,ret1yl,roll1y
2009-09-01,3850,3889,4116,334.0,-140.0
2009-10-09,3485,3465,3959,485.0,309.0
2009-11-02,3419,3574,3978,488.0,470.0
2009-12-01,3620,3660,4388,282.0,604.0
2010-01-04,3800,3902,4500,200.0,562.0
2010-02-01,3706,3828,4500,348.0,874.0
2010-03-01,3783,3883,4572,433.0,919.0
2010-04-01,4206,4279,4672,209.0,598.0
2010-05-04,4284,4307,4666,214.0,655.0
2010-06-01,4069,4109,4390,357.0,911.0
2010-07-02,3994,4015,4220,380.0,877.0
2010-08-02,4068,4113,4288,322.0,675.0
2010-09-01,4450,4399,4490,110.0,440.0
2010-10-08,4444,4351,4502,69.0,229.0
2010-11-01,4466,4490,4698,-386.0,114.0
2010-12-01,4670,4602,4716,-621.0,-78.0
2011-01-04,4700,4732,5100,-1026.0,-176.0
2011-02-01,4848,5005,4893,-798.0,-292.0
2011-03-01,5005,4879,4895,-784.0,-310.0
2011-04-01,4881,4818,4879,-612.0,-312.0
2011-05-03,4880,4729,4904,-1098.0,-532.0
2011-06-01,4747,4749,4784,-731.0,-550.0
2011-07-01,4600,4759,4722,-582.0,-401.0
2011-08-01,4610,4498,4861,-1143.0,-623.0
2011-09-01,4600,4737,4751,-1221.0,-870.0
2011-11-01,4571,4312,4177,-490.0,-578.0
2011-12-01,4312,4107,3984,-407.0,-578.0
2012-01-04,4095,4074,4248,-558.0,-564.0
2012-02-01,4074,4095,4295,-453.0,-632.0
2012-03-01,4095,4129,4216,-76.0,-511.0
2012-04-05,4111,4267,4325,-363.0,-883.0
2012-05-02,4267,3964,4222,-412.0,-966.0
2012-06-01,3806,4053,4067,-367.0,-1199.0
2012-07-02,4053,4140,4090,-565.0,-1327.0
2012-08-01,4140,4089,3751,49.0,-1119.0
2012-09-03,3718,3675,3403,284.0,-751.0
2012-10-08,3530,3561,3606,116.0,-677.0
2012-11-01,3687,3577,3795,-45.0,-743.0
2012-12-03,3577,3688,3540,50.0,-816.0
2013-01-04,3690,3910,4039,-349.0,-818.0
2013-02-01,3842,4019,4043,-397.0,-750.0
2013-03-01,4140,4352,4271,-631.0,-871.0
2013-04-01,3962,3893,3870,-495.0,-686.0
2013-05-02,3810,4091,3545,-55.0,-424.0
2013-06-03,3700,3653,3588,-400.0,-274.0
2013-07-01,3525,3592,3613,-357.0,-146.0
2013-08-01,3800,3690,3680,-385.0,-354.0
2013-09-02,3687,3793,3880,-501.0,-252.0
2013-10-08,3722,3690,3522,-794.0,-567.0
2013-11-01,3750,3663,3678,-494.0,-627.0
2013-12-02,3590,3690,3644,-652.0,-412.0
2014-01-02,3690,3646,3716,-863.0,-421.0
2014-02-07,3646,3640,3328,-536.0,-468.0
2014-03-03,3640,3580,3433,-831.0,-468.0
2014-04-01,3375,3311,3404,-850.0,-342.0
2014-05-05,3490,3429,3383,-904.0,-639.0
2014-06-03,3188,3256,3255,-946.0,-398.0
2014-07-01,3256,3295,3077,-636.0,-398.0
2014-08-01,3295,3280,3238,-1060.0,-640.0
2014-09-01,3379,3114,2963,-613.0,-739.0
2014-10-08,2728,3184,2899,-777.0,-442.0
2014-11-03,3184,2850,3136,-1048.0,-452.0
2014-12-01,2992,2862,2829,-1038.0,-591.0
2015-01-05,2853,2839,2888,-764.0,-582.0
2015-02-02,2792,2602,2772,-942.0,-535.0
2015-03-02,2602,2633,2638,-653.0,-535.0
2015-04-01,2554,2597,2574,-558.0,-456.0
2015-05-04,2479,2309,2670,-759.0,-338.0
2015-06-01,2309,2441,2795,-455.0,-338.0
2015-07-01,2441,2420,2665,-543.0,-338.0
2015-08-03,2178,2350,2254,-132.0,-96.0
2015-09-01,2350,2211,2276,-12.0,-96.0
2015-10-08,2122,2098,1996,139.0,-303.0
2015-11-02,2088,1788,1878,257.0,-293.0
2015-12-01,1791,2124,1881,472.0,-296.0
2016-01-04,2124,1830,1881,424.0,-296.0
2016-02-01,1830,1985,1982,349.0,-296.0
2016-03-01,1985,2016,1982,348.0,-296.0
2016-04-01,2016,1911,2338,708.0,-296.0
2016-05-03,1911,2340,2453,54.0,-296.0
2016-06-01,2340,2122,2573,-66.0,-296.0
2016-07-01,2122,2122,2265,242.0,-296.0
