trade_date,spot,f2m,f1y,ret1yl,roll1y
2006-02-02,65.37,66.22,69.08,-11.780000000000001,-23.610000000000014
2006-03-01,61.97,63.62,68.08,-6.079999999999998,-15.380000000000017
2006-04-03,66.74,68.04,69.83,-3.8900000000000006,-15.740000000000016
2006-05-01,73.7,75.22,76.54,-12.14,-24.550000000000004
2006-06-01,70.34,71.23,73.26,-8.180000000000007,-20.70000000000001
2006-07-03,74.04,74.99,76.25,-5.159999999999997,-18.540000000000013
2006-08-01,74.91,76.18,78.76,-2.230000000000004,-13.490000000000016
2006-09-01,69.19,70.37,74.41,0.0,-8.300000000000004
2006-10-02,61.03,62.32,67.77,12.469999999999999,7.559999999999995
2006-11-01,58.71,60.55,66.82,26.67,25.37999999999999
2006-12-01,63.43,65.01,70.08,19.230000000000004,19.359999999999985
2007-01-02,60.74,61.96,66.73,32.89,34.20999999999999
2007-02-01,57.3,58.02,62.54,26.419999999999995,28.499999999999986
2007-03-01,62.0,63.18,67.65,34.8,37.96999999999999
2007-04-02,65.94,67.55,70.41,30.570000000000007,34.17999999999999
2007-05-01,64.4,66.11,70.87,41.64999999999999,49.34999999999998
2007-06-01,65.08,66.12,70.45,57.31,66.33999999999999
2007-07-02,71.09,71.56,73.27,67.7,74.28999999999998
2007-08-01,76.53,76.21,73.11,51.989999999999995,52.83999999999996
2007-09-03,74.41,73.72,70.33,40.57000000000001,40.039999999999964
2007-10-01,80.24,79.28,74.5,24.03,20.71999999999997
2007-11-01,93.49,92.45,84.39,-20.480000000000004,-27.50000000000003
2007-12-03,89.31,89.04,86.09,-36.81,-39.67000000000003
2008-01-02,99.62,99.33,93.04,-46.7,-54.590000000000025
2008-02-01,88.96,89.0,87.65,-47.57000000000001,-54.35000000000002
2008-03-03,102.45,102.01,99.32,-59.169999999999995,-71.57000000000002
2008-04-01,100.98,100.5,96.03,-47.64,-64.60000000000002
2008-05-01,112.52,111.8,106.72,-53.519999999999996,-73.62000000000002
2008-06-02,127.76,128.05,126.5,-57.92,-75.54000000000002
2008-07-01,140.97,141.58,141.74,-72.43,-88.52000000000001
2008-08-01,125.1,125.5,125.79,-54.21000000000001,-70.72999999999999
2008-09-01,110.9,111.33,113.46,-45.41,-61.260000000000005
2008-10-01,98.53,97.92,100.73,-29.91000000000001,-46.360000000000014
2008-11-03,63.91,64.59,71.9,6.22999999999999,-5.420000000000016
2008-12-01,49.28,50.68,61.96,16.410000000000004,9.439999999999998
2009-01-02,46.34,50.21,61.76,19.750000000000007,15.520000000000003
2009-02-02,40.08,43.92,54.38,20.050000000000004,17.960000000000008
2009-03-02,40.15,42.45,50.79,27.910000000000004,25.520000000000017
2009-04-01,48.39,50.2,60.02,24.85,25.370000000000026
2009-05-01,53.2,54.54,63.89,22.299999999999997,23.22000000000002
2009-06-01,68.58,69.37,73.46,-0.8799999999999955,-7.389999999999986
2009-07-01,69.31,70.27,75.2,-2.25,-8.279999999999987
2009-08-03,71.58,73.18,79.33,2.010000000000005,-1.7099999999999795
2009-09-01,68.05,68.72,74.42,-0.5100000000000051,-4.429999999999978
2009-10-01,70.82,71.2,75.73,5.849999999999994,-0.30999999999997385
2009-11-02,78.13,78.82,83.74,-0.789999999999992,-6.789999999999964
2009-12-01,78.37,79.77,86.65,0.09999999999999432,-3.2599999999999767
2010-01-04,81.51,82.12,86.55,5.0,-0.6999999999999886
2010-02-01,74.43,74.91,80.12,10.649999999999991,5.329999999999998
2010-03-01,78.7,79.08,82.17,17.459999999999994,7.6699999999999875
2010-04-01,84.87,85.34,87.29,20.64999999999999,8.419999999999973
2010-05-03,86.19,89.15,94.39,19.129999999999995,12.589999999999975
2010-06-01,72.58,73.9,79.89,20.400000000000006,15.409999999999982
2010-07-01,72.95,73.46,77.5,17.439999999999998,10.439999999999984
2010-08-02,81.34,81.76,85.97,8.920000000000002,1.9399999999999693
2010-09-01,73.91,75.36,82.11,6.820000000000007,3.3899999999999864
2010-10-01,81.58,82.5,87.12,-9.510000000000005,-14.460000000000008
2010-11-01,82.95,83.67,87.23,4.959999999999994,-0.5500000000000114
2010-12-01,86.75,87.25,89.36,10.840000000000003,4.519999999999996
2011-01-03,91.55,92.43,94.7,8.259999999999991,2.8499999999999943
2011-02-01,90.77,93.5,99.86,-2.25,-1.019999999999996
2011-03-01,99.63,101.4,103.4,5.439999999999998,3.700000000000017
2011-04-01,107.94,108.5,108.04,-2.8100000000000023,-6.879999999999967
2011-05-02,113.52,114.04,113.12,-6.960000000000008,-11.499999999999972
2011-06-01,100.29,100.86,103.07,-19.83999999999999,-21.019999999999968
2011-07-01,94.94,95.51,100.28,-16.53,-14.909999999999968
2011-08-01,94.89,95.33,99.68,-10.77000000000001,-9.529999999999973
2011-09-01,88.93,89.24,91.77,5.3700000000000045,4.840000000000018
2011-10-03,77.61,77.83,80.73,11.75,11.51000000000002
2011-11-01,92.19,92.05,90.79,-3.700000000000003,-8.609999999999971
2011-12-01,100.2,100.33,98.18,-9.090000000000003,-15.239999999999966
2012-01-03,102.96,103.14,100.47,-7.349999999999994,-14.439999999999955
2012-02-01,97.61,97.99,99.63,-1.8599999999999994,-4.689999999999955
2012-03-01,108.84,109.27,107.57,-16.889999999999986,-23.09999999999995
2012-04-02,105.23,105.76,106.81,-9.740000000000009,-13.129999999999967
2012-05-01,106.16,106.5,105.47,-14.439999999999998,-19.879999999999953
2012-06-01,83.23,83.56,85.48,7.969999999999999,5.600000000000051
2012-07-02,83.75,84.15,86.99,11.0,9.730000000000047
2012-08-01,88.91,89.17,91.22,16.67,14.98000000000006
2012-09-03,97.14,97.44,97.53,9.269999999999996,6.880000000000052
2012-10-01,92.48,92.85,93.84,8.200000000000003,7.540000000000049
2012-11-01,87.09,87.57,90.32,4.290000000000006,6.2200000000000415
2012-12-03,89.09,89.69,92.09,1.7299999999999898,3.5600000000000307
2013-01-02,93.12,93.55,93.72,1.7199999999999989,1.4700000000000273
2013-02-01,97.77,98.24,96.48,-0.04999999999999716,-1.9399999999999693
2013-03-01,90.68,91.14,90.34,14.579999999999998,14.820000000000022
2013-04-01,97.07,97.38,94.06,5.679999999999993,4.410000000000025
2013-05-01,91.03,91.24,87.84,11.579999999999998,11.130000000000024
2013-06-03,93.45,93.67,90.29,12.179999999999993,12.640000000000015
2013-07-01,97.99,97.88,90.57,14.77000000000001,11.870000000000019
2013-08-01,107.89,106.93,94.54,3.339999999999989,-4.999999999999986
2013-09-02,106.8,106.34,94.65,1.1099999999999994,-6.049999999999969
2013-10-01,102.04,101.69,93.04,-2.3100000000000023,-5.749999999999972
2013-11-01,94.61,94.96,90.54,-11.760000000000005,-9.629999999999967
2013-12-02,93.82,94.1,90.73,-21.730000000000004,-18.32999999999997
2014-01-02,95.44,95.62,89.36,-36.67,-36.07999999999997
2014-02-03,96.43,95.72,87.57,-37.99999999999999,-40.42999999999997
2014-03-03,104.92,104.22,92.55,-42.959999999999994,-50.489999999999974
2014-04-01,99.74,99.05,90.36,-40.269999999999996,-47.43999999999997
2014-05-01,99.42,98.75,90.72,-31.57,-40.409999999999975
2014-06-02,102.47,101.79,92.9,-32.7,-44.28999999999997
2014-07-01,105.34,104.74,96.78,-39.82,-51.359999999999964
2014-08-01,97.88,96.94,92.3,-47.129999999999995,-56.69999999999996
2014-09-01,95.76,94.73,91.59,-46.18000000000001,-55.66999999999997
2014-10-01,90.73,89.74,86.76,-42.02,-52.949999999999974
2014-11-03,78.78,78.84,79.48,-33.34,-41.06999999999998
2014-12-01,69.0,69.1,70.85,-28.999999999999993,-36.41999999999997
2015-01-02,52.69,53.11,60.1,-23.340000000000003,-26.37999999999998
2015-02-02,49.57,50.45,59.77,-28.150000000000002,-29.16999999999998
2015-03-02,49.59,51.52,60.9,-26.5,-27.269999999999982
2015-04-01,50.09,51.75,58.99,-22.200000000000003,-25.19999999999998
2015-05-01,59.15,60.36,64.12,-19.340000000000003,-26.019999999999982
2015-06-01,60.2,60.48,62.21,-13.200000000000003,-22.329999999999984
2015-07-01,56.96,57.37,60.5,-11.509999999999998,-19.309999999999988
2015-08-03,45.17,45.56,51.57,-11.509999999999998,-16.69999999999999
2015-09-01,45.41,46.02,51.03,-7.8700000000000045,-14.22999999999999
2015-10-01,44.74,45.22,49.79,-0.9799999999999969,-7.889999999999986
2015-11-02,46.14,47.04,51.89,-5.219999999999999,-11.539999999999985
2015-12-01,41.85,43.13,48.81,2.25,-2.529999999999987
2016-01-04,36.76,37.95,44.5,7.829999999999998,4.210000000000015
2016-02-01,31.62,33.36,41.43,12.450000000000003,11.13000000000002
2016-03-01,34.4,36.15,42.01,11.82,9.430000000000017
2016-04-01,36.79,38.2,42.79,7.450000000000003,4.750000000000018
2016-05-02,44.78,45.48,47.93,0.9100000000000037,-3.699999999999978
2016-06-01,49.01,49.49,51.56,-3.200000000000003,-8.029999999999976
2016-07-01,48.99,49.65,53.31,-6.240000000000002,-9.059999999999977
2016-08-01,40.06,40.84,54.94,-5.780000000000001,2.4000000000000163
