trade_date,spot,f2m,f1y,ret1yl,roll1y
2003-04-06,598.75,597.25,531.0,498.5,442.0
2003-05-01,625.75,631.5,555.5,486.0,427.75
2003-06-02,612.5,611.75,560.5,303.5,289.75
2003-07-01,626.25,618.25,562.0,371.5,383.75
2003-08-01,537.5,524.5,528.0,70.0,258.75
2003-09-02,579.75,574.5,548.0,88.5,270.5
2003-10-01,687.25,690.0,577.5,-43.0,55.0
2003-11-03,790.0,797.0,601.0,-83.0,-69.0
2003-12-01,761.0,759.0,590.0,-62.0,-26.5
2004-01-02,792.5,798.25,641.0,-103.75,-54.25
2004-02-02,793.0,795.75,646.0,-139.0,-77.5
2004-03-01,962.25,957.5,745.0,-140.0,-146.0
2004-04-01,1029.5,1027.25,740.0,-126.0,-217.25
2004-05-03,1041.5,1021.0,734.0,-114.75,-235.75
2004-06-01,864.0,825.0,723.0,-37.75,-20.75
2004-07-01,933.5,803.75,657.0,16.5,-142.5
2004-08-02,598.0,569.5,585.5,87.5,60.25
2004-09-01,636.5,637.25,626.0,-30.25,-88.25
2004-10-01,534.5,542.0,563.0,18.0,-11.5
2004-11-01,518.0,521.5,551.5,23.0,-5.5
2004-12-01,528.0,531.5,564.0,-4.25,-38.75
2005-01-03,537.25,535.5,564.0,53.5,5.0
2005-02-01,507.0,507.0,534.0,45.5,-15.5
2005-03-01,605.0,613.25,617.0,-39.5,-128.25
2005-04-01,614.0,623.5,598.0,-33.0,-155.0
2005-05-02,619.25,627.25,619.0,-25.75,-136.5
2005-06-01,685.25,686.75,662.0,-75.25,-214.5
2005-07-01,673.5,676.0,663.0,-61.5,-193.5
2005-08-01,673.0,677.25,680.0,-106.5,-225.5
2005-09-01,595.75,607.0,619.25,-80.75,-184.75
2005-10-03,581.0,592.5,611.0,-65.75,-165.0
2005-11-01,574.5,586.5,609.25,35.75,-62.25
2005-12-01,559.75,568.0,590.5,86.5,-16.75
2006-01-03,617.5,628.5,645.0,24.25,-89.0
2006-02-01,579.5,592.25,627.5,94.0,-0.5
2006-03-01,577.5,591.0,625.0,121.25,23.0
2006-04-03,565.0,579.0,617.5,161.5,66.0
2006-05-01,593.25,606.75,641.0,176.5,73.5
2006-06-01,586.75,593.75,640.25,224.75,133.75
2006-07-03,601.5,608.5,653.5,172.25,80.75
2006-08-01,573.5,579.25,640.0,252.5,175.75
2006-09-01,538.5,551.5,607.0,384.5,300.5
2006-10-02,545.25,560.25,607.5,383.25,288.0
2006-11-01,645.0,658.25,691.5,387.25,275.5
2006-12-01,677.0,692.0,729.0,503.5,391.75
2007-01-03,669.25,682.0,730.5,556.75,453.0
2007-02-01,721.5,737.5,779.0,765.5,651.75
2007-03-01,746.25,762.0,810.0,401.0,294.5
2007-04-02,779.0,795.75,837.0,421.75,302.25
2007-06-01,817.5,824.75,870.75,494.75,375.0
2007-07-02,865.0,871.0,925.5,702.5,592.0
2007-08-01,825.75,832.5,894.0,463.75,372.0
2007-09-04,892.5,907.5,920.0,381.5,258.0
2007-10-01,991.5,1009.5,968.0,85.0,-71.5
2007-11-01,990.75,1006.5,959.5,-31.25,-195.0
2007-12-03,1078.75,1097.5,1017.5,-171.5,-358.75
2008-01-02,1232.5,1248.75,1148.5,-178.5,-378.0
2008-02-01,1287.25,1306.25,1262.0,-302.5,-434.0
2008-03-03,1544.5,1559.5,1457.0,-608.5,-789.5
2008-04-01,1211.0,1234.0,1177.0,-225.0,-333.0
2008-05-01,1258.75,1271.0,1223.5,-121.5,-207.25
2008-06-02,1365.5,1370.75,1400.75,-182.25,-174.25
2008-07-01,1628.0,1623.0,1623.5,-365.0,-348.5
2008-08-01,1357.75,1355.5,1416.0,-242.5,-70.25
2008-09-02,1301.5,1298.5,1308.5,-294.5,-90.75
2008-10-01,1053.0,1070.5,1078.25,-160.25,117.25
2008-11-03,928.25,937.5,969.5,28.0,332.75
2008-12-01,846.0,854.25,882.0,177.5,485.75
2009-01-02,970.0,977.0,1008.5,41.0,353.5
2009-02-02,959.5,965.75,944.0,-34.25,222.75
2009-03-02,848.5,844.0,811.0,141.5,371.75
2009-04-01,952.0,951.5,914.0,28.0,243.25
2009-05-01,1102.0,1091.0,967.0,8.75,117.25
2009-06-01,1218.5,1175.5,1061.0,-129.0,-64.75
2009-07-01,1258.5,1160.5,985.0,-31.5,-115.0
2009-08-03,1173.5,1088.5,1003.5,49.75,-11.75
2009-09-01,1014.0,955.5,931.0,73.5,48.0
2009-10-01,918.0,924.25,903.5,153.5,137.0
2009-11-02,997.5,998.0,981.5,243.75,222.25
2009-12-01,1059.5,1066.0,1054.25,228.75,208.75
2010-01-04,1049.5,1058.0,1027.25,343.0,304.0
2010-02-01,909.75,920.75,926.5,511.5,511.25
2010-03-01,952.5,962.5,957.75,409.75,399.0
2010-04-01,942.0,951.25,946.75,447.0,438.0
2010-05-03,975.75,986.5,982.25,408.0,399.5
2010-06-01,932.0,920.75,936.75,449.5,447.25
2010-07-01,953.5,937.0,933.0,389.25,354.75
2010-08-02,1053.25,1019.25,1016.0,342.75,284.5
2010-09-01,1004.5,1005.5,1012.0,412.75,370.75
2010-10-01,1057.0,1066.75,1043.5,134.0,62.25
2010-11-01,1225.25,1235.0,1174.0,18.25,-92.75
2010-12-01,1283.0,1291.5,1206.75,-78.75,-215.25
2011-01-03,1370.25,1379.0,1298.0,-79.75,-214.25
2011-02-01,1438.0,1448.0,1359.0,-143.75,-285.5
2011-03-01,1367.5,1375.25,1329.75,-13.0,-112.5
2011-04-01,1393.75,1404.25,1376.25,44.75,-32.5
2011-05-02,1390.25,1393.0,1373.25,124.5,52.0
2011-06-01,1386.25,1382.0,1378.25,-34.0,-100.5
