trade_date,spot,f2m,f1y,ret1yl,roll1y
2003-04-06,243.25,244.5,251.5,74.25,42.75
2003-05-01,233.25,231.5,244.5,73.5,40.0
2003-06-02,241.5,240.5,253.25,70.75,30.0
2003-07-01,229.5,225.25,241.25,16.25,-21.25
2003-08-01,206.75,214.0,233.5,-15.25,-47.5
2003-09-02,232.5,240.0,244.5,-11.0,-60.25
2003-10-01,220.25,228.5,236.25,-30.25,-77.25
2003-11-03,240.0,245.5,246.5,-46.5,-105.75
2003-12-01,246.5,249.25,247.0,-55.5,-126.25
2004-01-02,253.25,256.0,257.5,-55.75,-131.75
2004-02-02,271.25,276.0,272.5,-75.5,-159.75
2004-03-01,296.0,302.75,297.0,-86.0,-173.5
2004-04-01,325.75,332.0,328.25,-115.5,-203.0
2004-05-03,318.0,324.0,323.75,-123.25,-209.5
2004-06-01,324.0,319.75,324.75,-100.25,-194.0
2004-07-01,257.5,263.0,282.5,-66.0,-148.5
2004-08-02,218.25,227.75,249.25,-17.5,-97.5
2004-09-01,233.5,242.75,261.5,-53.75,-139.75
2004-10-01,206.0,217.0,245.75,-37.0,-116.5
2004-11-01,200.0,211.0,241.25,-44.5,-124.25
2004-12-01,191.5,203.25,236.5,-47.25,-126.25
2005-01-03,201.75,209.75,241.5,-21.5,-108.5
2005-02-01,197.0,204.75,236.25,-19.75,-107.75
2005-03-01,211.0,219.25,246.0,-21.75,-116.25
2005-04-01,212.75,221.0,246.75,-10.25,-108.0
2005-05-02,200.5,209.0,239.25,-1.25,-97.25
2005-06-01,224.5,233.25,258.5,-4.0,-106.25
2005-07-01,216.5,225.5,251.25,-8.0,-112.5
2005-08-01,231.75,244.25,259.0,-18.5,-131.75
2005-09-01,207.75,222.25,251.25,-21.25,-123.0
2005-10-03,208.75,221.5,251.25,16.5,-87.5
2005-11-01,196.75,210.75,243.25,90.25,-10.0
2005-12-01,189.25,203.75,239.5,134.5,38.5
2006-01-03,220.0,228.5,257.75,112.75,5.75
2006-02-01,216.5,226.5,260.25,137.75,35.75
2006-03-01,224.25,234.75,267.75,149.5,45.5
2006-04-03,236.5,247.75,280.5,74.25,-29.5
2006-05-01,238.0,248.0,286.0,100.75,0.5
2006-06-01,254.5,266.25,303.75,26.75,-64.75
2006-07-03,243.25,253.5,295.75,23.25,-62.5
2006-08-01,240.5,257.75,298.0,38.75,-48.75
2006-09-01,230.0,245.75,286.25,82.5,-5.5
2006-10-02,267.75,280.75,307.5,61.25,-44.25
2006-11-01,333.5,347.0,336.25,49.75,-97.0
2006-12-01,374.0,387.0,360.25,102.25,-65.0
2007-01-03,370.5,380.0,367.0,133.5,-21.5
2007-02-01,398.0,409.75,399.0,156.5,2.75
2007-03-01,417.25,428.0,421.25,162.75,12.75
2007-04-02,354.75,366.5,386.0,219.5,93.5
2007-06-01,386.75,389.25,406.0,209.75,71.75
2007-07-02,330.5,339.75,382.0,337.5,221.0
2007-08-01,319.0,336.0,378.5,186.5,74.5
2007-09-04,336.75,353.25,395.0,158.0,41.75
2007-10-01,368.75,385.5,415.5,68.5,-59.0
2007-11-01,368.75,386.0,416.75,-13.75,-142.25
2007-12-03,386.0,403.5,431.5,-98.75,-230.25
2008-01-02,462.5,473.5,484.75,-72.5,-225.75
2008-02-01,500.5,513.25,526.5,-156.0,-305.0
2008-03-03,555.5,566.5,583.5,-240.0,-385.5
2008-04-01,584.0,598.0,603.0,-207.0,-357.25
2008-05-01,605.5,617.25,649.0,-242.75,-364.75
2008-06-02,615.75,629.0,672.0,-226.25,-331.25
2008-07-01,719.5,732.25,779.5,-427.75,-525.75
2008-08-01,565.0,585.0,631.5,-273.5,-357.0
2008-09-02,553.0,569.25,608.5,-296.25,-381.75
2008-10-01,484.0,503.0,537.0,-196.5,-275.25
2008-11-03,403.0,420.75,464.25,-82.0,-146.25
2008-12-01,332.75,348.75,396.25,3.5,-54.25
