trade_date,spot,f2m,f1y,ret1yl,roll1y
2012-09-03,66.71,67.27,69.89,-21.78,-22.729999999999983
2012-10-08,70.01,70.48,73.5,-28.61,-27.919999999999995
2012-11-01,67.45,67.94,70.91,-26.689999999999998,-25.64999999999999
2012-12-03,67.65,68.34,71.65,-30.400000000000006,-28.25
2013-01-04,59.67,60.19,64.24,-23.39999999999999,-20.129999999999995
2013-02-01,63.8,64.07,67.72,-27.589999999999996,-24.739999999999995
2013-03-01,58.69,59.17,62.55,-20.009999999999998,-17.160000000000004
2013-04-01,57.28,57.6,60.9,-20.07,-17.120000000000005
2013-05-02,47.37,47.22,49.51,-8.579999999999998,-6.910000000000004
2013-06-03,44.85,45.12,47.35,-6.300000000000004,-4.400000000000006
2013-07-01,39.05,39.21,40.88,1.9799999999999969,3.799999999999997
2013-08-01,39.34,39.39,40.25,2.5799999999999983,3.309999999999995
2013-09-02,48.11,47.34,48.69,-6.599999999999994,-6.189999999999998
2013-10-08,44.89,44.98,45.93,-7.210000000000001,-6.899999999999999
2013-11-01,44.22,44.14,44.63,-8.950000000000003,-9.149999999999999
2013-12-02,41.25,41.39,42.13,-8.600000000000001,-7.559999999999995
2014-01-02,40.84,41.13,42.33,-7.920000000000002,-5.980000000000004
2014-02-07,40.13,40.34,41.55,-5.509999999999998,-3.500000000000007
2014-03-03,42.54,42.68,44.4,-8.490000000000002,-5.800000000000004
2014-04-01,40.83,40.95,42.05,-6.759999999999998,-4.600000000000001
2014-05-05,40.93,40.91,41.21,-5.93,-4.82
2014-06-03,41.05,40.73,40.26,-4.589999999999996,-4.769999999999996
2014-07-01,42.86,43.19,43.82,-9.939999999999998,-8.869999999999997
2014-08-01,42.83,42.87,43.34,-11.360000000000003,-10.559999999999999
2014-09-01,42.09,41.88,41.08,-8.030000000000001,-9.070000000000011
2014-10-08,38.72,38.69,37.32,-2.6899999999999977,-4.510000000000002
2014-11-03,35.68,34.83,34.61,-0.8800000000000026,-2.370000000000008
2014-12-01,33.53,33.38,32.37,-0.8199999999999967,-3.440000000000012
2015-01-05,34.41,34.56,35.29,-3.240000000000002,-4.120000000000008
2015-02-02,36.04,36.01,36.46,-3.8299999999999983,-5.220000000000002
2015-03-02,35.91,35.94,36.55,-3.6599999999999966,-4.98
2015-04-01,35.29,35.52,36.56,-2.8100000000000023,-3.5500000000000007
2015-05-04,35.28,35.48,36.29,1.5900000000000034,0.610000000000003
2015-06-01,35.67,35.85,37.18,-2.3599999999999994,-2.91
2015-07-01,33.88,34.03,35.0,5.869999999999997,4.969999999999995
2015-08-03,31.98,32.34,33.44,11.060000000000002,10.689999999999998
2015-09-01,33.05,33.23,34.25,6.890000000000001,6.650000000000006
2015-10-08,34.63,34.6,35.47,5.230000000000004,4.650000000000006
2015-11-02,33.73,33.92,35.1,4.939999999999998,4.690000000000012
2015-12-01,31.55,31.7,32.87,7.020000000000003,6.620000000000015
2016-01-04,32.05,32.25,33.58,6.68,6.5500000000000185
2016-02-01,32.63,32.75,33.73,8.480000000000004,7.990000000000016
2016-03-01,32.89,32.97,34.53,7.100000000000001,7.140000000000015
2016-04-01,33.75,33.96,35.58,4.539999999999999,4.660000000000011
2016-05-03,37.88,38.15,39.78,0.03999999999999915,0.21000000000000796
2016-06-01,34.82,34.96,36.75,2.4099999999999966,2.240000000000002
2016-07-01,40.87,40.83,42.68,-4.189999999999998,-4.47999999999999
