trade_date,spot,f2m,f1y,ret1yl,roll1y
2014-07-01,3630,3518,3338,-1080.0,-1673.0
2014-08-01,3368,3308,3376,-1396.0,-1963.0
2014-09-01,3230,3156,3206,-1281.0,-2060.0
2014-10-08,2842,2932,2922,-1065.0,-1820.0
2014-11-03,2862,2940,2866,-1000.0,-1757.0
2014-12-01,2862,2956,2798,-950.0,-1740.0
2015-01-05,2966,2952,2804,-755.0,-1407.0
2015-02-02,2744,2586,2656,-713.0,-1248.0
2015-03-02,2400,2600,2640,-711.0,-1015.0
2015-04-01,2326,2466,2554,-170.0,-377.0
2015-05-04,2471,2457,2713,251.0,149.0
2015-06-01,2160,2291,2593,-40.0,87.0
2015-07-01,2258,2420,2380,152.0,248.0
2015-08-03,1980,2100,2177,412.0,769.0
2015-09-01,1925,1931,2006,770.0,1011.0
2015-10-08,1857,1873,1960,1082.0,1401.0
2015-11-02,1866,1909,1872,1603.0,1884.0
2015-12-01,1848,1706,1715,1927.0,2106.0
2016-01-04,2049,1992,1899,1701.0,1823.0
2016-02-01,1943,1882,1906,1964.0,2408.0
2016-03-01,1929,2020,2022,1495.0,2153.0
2016-04-01,2384,2433,2231,958.0,1636.0
2016-05-03,2964,2912,2522,611.0,1039.0
2016-06-01,2553,2404,2139,1421.0,1833.0
2016-07-01,2532,2508,2401,1236.0,1852.0
