trade_date,spot,f2m,f1y,ret1yl,roll1y
2003-06-02,8903,8883,8828,1372.0,1600.0
2003-07-01,9020,8988,9110,1190.0,1580.0
2003-08-01,9140,9106,9051,1114.0,1293.0
2003-09-02,9521,9488,9433,738.0,887.0
2003-10-01,9436,9410,9453,739.0,965.0
2003-11-03,9813,9788,9453,589.0,417.0
2003-12-01,9890,9864,9800,786.0,863.0
2004-01-02,10398,10377,10337,413.0,488.0
2004-02-02,10485,10464,10435,107.0,144.0
2004-03-01,10676,10653,10623,204.0,190.0
2004-04-01,10369,10345,10304,127.0,49.0
2004-05-03,10292,10274,10227,28.0,-108.0
2004-06-01,10200,10183,10135,402.0,218.0
2004-07-01,10300,10300,10320,13.0,-133.0
2004-08-02,10165,10162,10180,453.0,264.0
2004-09-01,10171,10166,10172,290.0,40.0
2004-10-01,10192,10187,10194,373.0,79.0
2004-11-01,10042,10038,10091,340.0,46.0
2004-12-01,10586,10591,10655,264.0,-59.0
2005-01-03,10750,10778,10827,55.0,-309.0
2005-02-01,10542,10569,10634,351.0,-39.0
2005-03-01,10827,10856,10926,130.0,-297.0
2005-04-01,10431,10465,10523,674.0,196.0
2005-05-02,10255,10285,10349,1018.0,498.0
2005-06-01,10537,10567,10627,629.0,53.0
2005-07-01,10333,10371,10458,831.0,238.0
2005-08-01,10633,10677,10758,406.0,-240.0
2005-09-01,10462,10502,10612,860.0,198.0
2005-10-03,10567,10609,10734,1001.0,311.0
2005-11-01,10431,10476,10606,1457.0,737.0
2005-12-01,10919,10973,11069,1155.0,369.0
2006-01-03,10882,10951,11053,1477.0,681.0
2006-02-01,10985,11056,11156,1555.0,729.0
2006-03-01,11056,11129,11215,1037.0,169.0
2006-04-03,11197,11275,11423,1026.0,205.0
2006-05-01,11367,11449,11593,1585.0,741.0
2006-06-01,11256,11338,11521,2168.0,1335.0
2006-07-03,11289,11380,11511,2116.0,1200.0
2006-08-01,11164,11249,11386,2018.0,1096.0
2006-09-01,11472,11557,11694,1762.0,833.0
2006-10-02,11735,11815,11990,2167.0,1257.0
2006-11-01,12063,12149,12318,1290.0,368.0
2006-12-01,12224,12309,12479,870.0,-46.0
2007-01-03,12530,12629,12779,357.0,-556.0
2007-02-01,12711,12812,13001,-245.0,-1094.0
2007-03-01,12252,12345,12542,-290.0,-1048.0
2007-04-02,12449,12550,12743,-116.0,-785.0
2007-05-01,13178,13288,13472,-471.0,-1039.0
2007-06-01,13689,13811,14031,-1525.0,-1941.0
2007-07-02,13627,13724,13947,-2568.0,-2885.0
2007-08-01,13404,13496,13724,-2418.0,-2638.0
2007-09-04,13456,13555,13734,-2220.0,-2390.0
2007-10-01,14157,14249,14414,-3527.0,-3615.0
2007-11-01,13608,13688,13848,-4516.0,-4525.0
2007-12-03,13349,13425,13589,-5450.0,-5359.0
2008-01-02,13136,13212,13368,-4410.0,-4221.0
2008-02-01,12756,12766,12786,-4899.0,-4802.0
2008-03-03,12252,12260,12266,-5476.0,-5343.0
2008-04-01,12627,12627,12600,-4882.0,-4739.0
2008-05-01,13001,13007,13025,-4844.0,-4602.0
2008-06-02,12506,12507,12522,-3834.0,-3541.0
2008-07-01,11379,11379,11414,-2966.0,-2596.0
2008-08-01,11306,11306,11342,-2094.0,-1667.0
2008-09-02,11514,11510,11539,-2236.0,-1761.0
2008-10-01,10887,10883,10897,-1426.0,-910.0
2008-11-03,9332,9312,9267,468.0,964.0
2008-12-01,8139,8109,8039,2422.0,2924.0
2009-01-02,8958,8924,8824,1695.0,2197.0
2009-02-02,7887,7845,7775,2362.0,2912.0
2009-03-02,6790,6747,6667,3718.0,4276.0
2009-04-01,7718,7670,7588,3272.0,3843.0
2009-05-01,8181,8128,8051,3051.0,3638.0
2009-06-01,8688,8631,8538,1481.0,2054.0
2009-07-01,8448,8392,8298,1364.0,1937.0
2009-08-03,9248,9189,9093,1524.0,2096.0
2009-09-01,9303,9243,9133,1139.0,1703.0
2009-10-01,9471,9412,9301,1467.0,2038.0
2009-11-02,9735,9674,9565,1525.0,2103.0
2009-12-01,10461,10397,10284,949.0,1524.0
2010-01-04,10519,10459,10354,1231.0,1820.0
2010-02-01,10137,10076,9967,2006.0,2593.0
2010-03-01,10385,10322,10215,1807.0,2397.0
2010-04-01,10860,10796,10686,1632.0,2219.0
2010-05-03,11102,11043,10928,1836.0,2427.0
2010-06-01,10019,9962,9851,2423.0,3030.0
2010-07-01,9662,9602,9491,3023.0,3638.0
2010-08-02,10617,10551,10437,1603.0,2220.0
2010-09-01,10272,10205,10087,1378.0,1992.0
2010-10-01,10768,10702,10588,-59.0,565.0
2010-11-01,11090,11025,10902,780.0,1407.0
2010-12-01,11233,11167,11048,955.0,1591.0
2011-01-03,11585,11522,11410,928.0,1579.0
2011-02-01,11973,11909,11799,854.0,1511.0
2011-03-01,12022,11958,11848,1125.0,1788.0
2011-04-01,12318,12250,12125,1064.0,1716.0
2011-05-02,12764,12695,12570,648.0,1300.0
2011-06-01,12274,12206,12075,28.0,676.0
2011-07-01,12514,12443,12317,459.0,1114.0
2011-08-01,12040,11972,11833,1090.0,1733.0
2011-09-01,11465,11393,11254,1796.0,2446.0
2011-10-03,10529,10452,10319,3118.0,3777.0
2011-11-01,11682,11611,11481,1684.0,2349.0
2011-12-01,12003,11932,11802,1148.0,1820.0
2012-01-03,12338,12270,12130,1201.0,1870.0
2012-02-01,12653,12583,12443,1487.0,2165.0
2012-03-01,12973,12901,12761,1313.0,1987.0
2012-04-02,13189,13120,12972,1517.0,2183.0
2012-05-01,13218,13148,13000,1636.0,2306.0
2012-06-01,12103,12030,11888,3329.0,4004.0
2012-07-02,12776,12707,12564,2318.0,2993.0
2012-08-01,12923,12844,12694,2856.0,3522.0
2012-09-04,13050,12970,12820,2007.0,2671.0
2012-10-01,13437,13363,13209,1911.0,2579.0
2012-11-01,13165,13087,12927,2615.0,3267.0
2012-12-03,12950,12875,12716,3282.0,3928.0
2013-01-02,13331,13252,13118,3270.0,3924.0
2013-02-01,13930,13862,13714,1578.0,2211.0
2013-03-01,14074,14005,13857,2291.0,2924.0
2013-04-01,14489,14415,14275,2174.0,2810.0
2013-05-01,14636,14564,14394,2094.0,2697.0
2013-06-03,15217,15147,14975,1747.0,2347.0
2013-07-01,14882,14805,14641,2235.0,2838.0
2013-08-01,15550,15472,15308,1108.0,1713.0
2013-09-03,14827,14745,14581,2472.0,3076.0
2013-10-01,15120,15052,14914,1826.0,2471.0
2013-11-01,15542,15474,15327,1958.0,2596.0
2013-12-02,15998,15936,15789,1966.0,2614.0
2014-01-02,16388,16327,16189,1534.0,2198.0
2014-02-03,15292,15223,15085,2214.0,2892.0
2014-03-03,16148,16079,15941,2307.0,2991.0
2014-04-01,16449,16380,16226,1389.0,2069.0
2014-05-01,16488,16419,16270,1664.0,2366.0
2014-06-02,16722,16650,16487,1536.0,2233.0
2014-07-01,16876,16796,16638,1033.0,1735.0
2014-08-01,16416,16335,16177,1334.0,2032.0
2014-09-02,17053,16970,16814,-727.0,-24.0
2014-10-01,16740,16670,16490,-300.0,402.0
2014-11-03,17285,17213,17037,698.0,1412.0
2014-12-01,17755,17687,17511,351.0,1079.0
2015-01-02,17723,17640,17460,-375.0,342.0
2015-02-02,17299,17224,17044,-704.0,16.0
2015-03-02,18248,18167,17995,-1146.0,-418.0
2015-04-01,17615,17529,17365,341.0,1089.0
2015-05-01,17934,17853,17689,110.0,870.0
2015-06-01,18023,17943,17779,0.0,769.0
2015-07-01,17671,17594,17430,436.0,1226.0
2015-08-03,17511,17425,17261,1065.0,1863.0
2015-09-01,16087,15994,15837,2558.0,3369.0
2015-10-01,16190,16110,15927,2229.0,3018.0
2015-11-02,17735,17653,17470,469.0,1236.0
2015-12-01,17862,17786,17607,1590.0,2344.0
2016-01-04,17085,17007,16876,2922.0,3707.0
2016-02-01,16340,16259,16127,3689.0,4453.0
2016-03-01,16849,16751,16620,4471.0,5198.0
2016-04-01,17706,17613,17493,3097.0,3796.0
2016-05-02,17799,17710,17587,3286.0,3947.0
2016-06-01,17779,17681,17549,3583.0,4183.0
2016-07-01,17866,17772,17650,3786.0,4353.0
2016-08-01,18326,18227,18108,3796.0,4310.0
