trade_date,spot,f2m,f1y,ret1yl,roll1y
2011-10-03,5078.5,5042.3,4979.4,521.3000000000002,926.2999999999993
2011-11-01,5287.8,5281.8,5241.7,208.0,680.9999999999991
2011-12-01,5137.6,5128.3,5115.9,387.90000000000055,929.0999999999995
2012-01-03,5227.0,5209.5,5185.1,445.1999999999998,1006.0
2012-02-01,5541.1,5505.3,5438.3,170.30000000000018,707.1999999999998
2012-03-01,5648.5,5590.8,5477.4,33.30000000000018,508.5
2012-04-02,5586.8,5546.0,5459.4,-2.899999999999636,500.8000000000002
2012-05-01,5642.0,5582.6,5489.5,-29.600000000000364,445.89999999999964
2012-06-01,5452.0,5387.2,5292.3,-37.100000000000364,412.5
2012-07-02,5564.2,5517.6,5437.0,-269.60000000000036,195.59999999999945
2012-08-01,5556.0,5493.1,5394.4,-153.0,276.39999999999964
2012-09-03,5470.8,5403.7,5318.4,-149.5,276.6999999999998
2012-10-01,5500.7,5449.5,5357.5,-117.89999999999964,298.3000000000002
2012-11-01,5449.7,5399.9,5310.9,-77.39999999999964,334.3000000000002
2012-12-03,5503.8,5454.7,5356.0,-185.30000000000018,205.89999999999964
2013-01-02,5630.3,5575.8,5480.9,-355.89999999999964,30.599999999999454
2013-02-01,5608.6,5566.2,5473.6,-599.3000000000002,-211.5000000000009
2013-03-01,5510.7,5468.2,5395.3,-524.6000000000004,-122.60000000000127
2013-04-01,5456.5,5418.8,5347.3,-271.0,123.99999999999909
2013-05-01,5459.9,5419.2,5337.6,-188.60000000000036,194.59999999999945
2013-06-03,5255.2,5207.3,5133.9,120.20000000000073,511.8000000000002
2013-07-01,5167.4,5122.2,5028.4,325.7000000000007,695.8000000000011
2013-08-01,5241.4,5190.9,5097.8,209.80000000000018,583.800000000002
2013-09-02,5168.9,5121.0,5034.8,167.59999999999945,551.7000000000016
2013-10-01,5239.6,5197.3,5114.4,-215.0,184.10000000000127
2013-11-01,5233.5,5195.2,5114.0,-289.0,119.80000000000109
2013-12-02,5170.7,5124.7,5045.0,-631.6999999999998,-226.9999999999991
2014-01-02,5125.0,5083.6,5003.1,-818.1000000000004,-420.7999999999993
2014-02-03,4874.3,4837.3,4760.4,-622.5999999999995,-226.09999999999854
2014-03-03,4870.7,4841.4,4767.6,-822.6000000000004,-421.199999999998
2014-04-01,5076.3,5037.3,4948.2,-1096.1,-710.7999999999988
2014-05-01,5149.0,5100.9,5002.7,-837.0999999999995,-469.79999999999836
2014-06-02,5254.1,5210.0,5109.3,-1206.5,-847.2999999999993
2014-07-01,5354.1,5300.4,5182.4,-1423.0999999999995,-1095.2999999999993
2014-08-01,5307.6,5256.5,5152.0,-1729.5,-1405.4
2014-09-01,5202.4,5148.4,5046.7,-1836.8999999999996,-1535.0999999999995
2014-10-01,4899.4,4853.1,4770.0,-1530.3000000000002,-1233.6999999999998
2014-11-03,4825.0,4784.6,4687.1,-1253.1000000000004,-973.1999999999994
2014-12-01,4413.3,4378.5,4304.4,-1104.3999999999996,-794.7999999999993
2015-01-02,4185.0,4152.4,4085.4,-1002.0,-687.099999999999
2015-02-02,4137.8,4106.7,4043.8,-1051.1000000000004,-721.3999999999996
2015-03-02,3945.0,3906.8,3847.9,-751.3000000000002,-415.5999999999999
2015-04-01,3852.1,3812.9,3743.8,-485.0,-149.09999999999945
2015-05-01,4165.6,4127.1,4044.5,-540.0999999999999,-209.69999999999982
2015-06-01,3902.8,3863.2,3793.5,-587.9000000000001,-228.29999999999973
2015-07-01,3759.3,3725.4,3660.6,-306.9000000000001,80.89999999999964
2015-08-03,3422.5,3393.6,3333.6,-120.79999999999973,301.1999999999998
2015-09-01,3209.8,3187.3,3132.6,209.70000000000027,669.5999999999999
2015-10-01,3239.7,3201.6,3124.3,256.2999999999997,709.5
2015-11-02,3434.0,3392.9,3307.2,-41.79999999999973,408.3000000000002
2015-12-01,3200.0,3169.2,3087.4,166.19999999999982,634.7000000000003
2016-01-04,3083.4,3041.6,2960.9,410.5999999999999,884.3000000000002
2016-02-01,2992.7,2952.5,2877.5,596.5999999999999,1082.2000000000003
2016-03-01,3096.6,3047.0,2961.1,489.5,963.7000000000003
2016-04-01,3258.8,3212.3,3123.8,329.2999999999997,799.5999999999999
2016-05-02,3504.4,3448.5,3349.0,50.80000000000018,498.5
2016-06-01,3205.6,3148.4,3235.3,219.5,827.0000000000005
2016-07-01,3353.7,3295.4,3193.7,76.30000000000018,483.5000000000009
2016-08-01,3212.8,3157.7,3059.5,264.0,654.0000000000009
