trade_date,spot,f2m,f1y,ret1yl,roll1y
2006-05-01,2.72,2.64,2.362,-0.14700000000000024,0.47399999999999975
2006-06-01,3.62,3.37,2.72,-0.5500000000000003,-0.4910000000000001
2006-07-03,3.22,2.907,2.45,-0.4600000000000002,-0.3920000000000001
2006-08-01,2.45,2.49,2.33,-0.3900000000000001,0.06499999999999972
2006-09-01,2.185,2.185,2.09,-0.4269999999999998,0.246
2006-10-02,1.795,1.783,1.68,-0.1339999999999999,0.5830000000000002
2006-11-01,2.025,2.025,1.77,0.02499999999999991,0.5970000000000002
2006-12-01,2.315,2.225,1.833,0.11699999999999999,0.532
2007-01-03,2.49,2.36,1.83,0.5899999999999999,0.8569999999999998
2007-02-01,2.01,1.98,1.795,0.3580000000000001,1.0509999999999997
2007-03-01,2.28,2.21,1.92,0.48099999999999987,1.0539999999999994
2007-04-02,2.194,2.15,1.94,0.5420000000000003,1.1519999999999997
2007-05-01,2.215,2.155,1.9,0.5900000000000003,1.1600000000000001
2007-06-01,2.17,2.041,1.84,0.5679999999999998,1.1149999999999998
2007-07-02,1.99,1.94,1.78,1.0399999999999998,1.5839999999999994
2007-08-01,1.94,1.787,1.73,0.6600000000000001,1.1649999999999994
2007-09-04,1.663,1.599,1.59,0.6449999999999998,1.1409999999999991
2007-10-01,1.546,1.539,1.57,0.5280000000000002,1.0499999999999994
2007-11-01,1.795,1.725,1.72,0.06899999999999995,0.4909999999999992
2007-12-03,1.95,1.83,1.788,-0.19199999999999995,0.12299999999999933
2008-01-02,2.42,2.309,2.12,-0.5,-0.4320000000000004
2008-02-01,2.153,2.0980000000000003,2.03,-0.46999999999999975,-0.3690000000000002
2008-03-03,2.401,2.4,2.26,-0.7499999999999998,-0.7229999999999996
2008-04-01,2.482,2.417,2.28,-0.7099999999999997,-0.7449999999999999
2008-05-01,2.49,2.438,2.38,-0.7469999999999999,-0.7600000000000002
2008-06-02,2.408,2.402,2.44,-0.6699999999999999,-0.5969999999999998
2008-07-01,2.82,2.809,2.82,-1.1649999999999998,-1.1289999999999993
2008-08-01,2.39,2.383,2.375,-0.7050000000000001,-0.6109999999999993
2008-09-02,2.235,2.242,2.23,-0.625,-0.5089999999999992
2008-10-01,2.0980000000000003,2.092,2.09,-0.2589999999999999,-0.10199999999999965
2008-11-03,1.789,1.739,1.79,0.16500000000000004,0.4480000000000004
2008-12-01,1.596,1.585,1.641,0.5180000000000002,0.9050000000000007
2009-01-02,1.62,1.653,1.758,0.20700000000000007,0.7790000000000006
2009-02-02,1.56,1.561,1.71,0.08299999999999996,0.7250000000000005
2009-03-02,1.51,1.51,1.58,0.11199999999999988,0.6860000000000006
2009-04-01,1.57,1.575,1.67,-0.14800000000000013,0.4590000000000003
2009-05-01,1.633,1.6369999999999998,1.69,-0.09299999999999997,0.43800000000000017
2009-06-01,1.77,1.769,1.825,-0.22299999999999986,0.28600000000000003
2009-07-01,1.655,1.571,1.58,-0.04500000000000015,0.33599999999999985
2009-08-03,1.67,1.651,1.67,0.050000000000000044,0.4169999999999998
2009-09-01,1.605,1.568,1.585,0.359,0.7259999999999998
2009-10-01,1.831,1.7080000000000002,1.65,0.26,0.5339999999999998
2009-11-02,1.955,1.845,1.79,0.577,0.8119999999999998
2009-12-01,2.1590000000000003,2.056,1.86,0.264,0.3369999999999995
2010-01-04,1.965,1.94,1.851,0.5089999999999999,0.6989999999999994
2010-02-01,1.793,1.7819999999999998,1.76,0.575,0.8639999999999992
2010-03-01,1.692,1.689,1.73,0.8650000000000002,1.1909999999999992
2010-04-01,1.5219999999999998,1.56,1.63,1.0500000000000003,1.4529999999999996
2010-05-03,1.597,1.621,1.753,0.861,1.3729999999999996
2010-06-01,1.602,1.599,1.6780000000000002,0.9639999999999997,1.4049999999999994
2010-07-01,1.535,1.54,1.712,0.8950000000000002,1.4259999999999997
2010-08-02,1.72,1.681,1.7719999999999998,1.068,1.5869999999999995
2010-09-01,1.944,1.839,1.845,0.998,1.4569999999999996
2010-10-01,1.91,1.842,1.855,0.645,1.1159999999999997
2010-11-01,2.367,2.285,2.108,0.6519999999999997,0.9479999999999995
2010-12-01,2.124,2.089,2.044,0.4830000000000001,0.9729999999999994
2011-01-03,2.36,2.317,2.137,0.1030000000000002,0.7049999999999996
2011-02-01,2.335,2.358,2.24,-0.07100000000000017,0.589
2011-03-01,2.595,2.585,2.29,-0.026000000000000245,0.4179999999999997
2011-04-01,2.68,2.657,2.41,-0.1080000000000001,0.3409999999999993
2011-05-02,2.614,2.629,2.425,-0.21399999999999997,0.27599999999999936
2011-06-01,2.642,2.65,2.406,-0.43100000000000005,0.008999999999999453
2011-07-01,2.607,2.499,2.21,0.08199999999999985,0.35299999999999887
2011-08-01,2.84,2.71,2.469,0.12700000000000022,0.3129999999999993
2011-09-01,2.843,2.77,2.6010000000000004,-0.038000000000000256,0.17599999999999927
2011-10-03,2.5,2.403,2.099,0.246,0.2249999999999992
2011-11-01,2.76,2.6630000000000003,2.25,0.14500000000000002,-0.08900000000000041
2011-12-01,2.527,2.237,2.027,0.4009999999999998,0.07599999999999962
2012-01-03,2.24,2.267,2.143,0.036000000000000476,-0.17200000000000015
2012-02-01,2.169,2.198,2.113,0.35599999999999987,0.20099999999999962
2012-03-01,2.264,2.2840000000000003,2.137,0.26900000000000013,0.06499999999999995
2012-04-02,2.302,2.319,2.086,0.27500000000000036,-0.005999999999999783
2012-05-01,2.211,2.229,2.0540000000000003,0.5449999999999999,0.37500000000000044
2012-06-01,1.975,1.991,1.959,0.7509999999999999,0.8800000000000003
2012-07-02,2.292,2.295,2.309,0.10099999999999998,0.4260000000000006
2012-08-01,2.596,2.567,2.458,-0.16900000000000004,0.09100000000000064
2012-09-04,2.563,2.5660000000000003,2.492,-0.01200000000000001,0.39000000000000057
2012-10-01,2.345,2.352,2.265,-0.3550000000000002,0.5780000000000005
2012-11-01,2.395,2.399,2.235,-0.46499999999999986,0.6340000000000003
2012-12-03,2.428,2.424,2.167,0.03300000000000036,1.1560000000000006
2013-01-02,2.1790000000000003,2.194,2.007,-0.05700000000000016,1.6380000000000001
2013-02-01,2.469,2.476,2.091,-0.19100000000000028,1.4440000000000002
2013-03-01,2.406,2.414,2.004,0.28600000000000003,1.965
2013-04-01,2.361,2.326,1.925,1.5919999999999999,3.282
2013-05-01,2.599,2.459,1.94,0.22999999999999998,2.3909999999999996
2013-06-03,2.71,2.563,2.053,0.28200000000000003,2.3589999999999995
2013-07-01,2.41,2.323,1.934,0.15300000000000025,2.3789999999999996
2013-08-01,2.289,2.185,1.784,0.30499999999999994,2.4699999999999993
2013-09-03,2.48,1.943,1.765,0.40900000000000003,2.345999999999999
2013-10-01,1.91,1.671,1.653,-0.1200000000000001,1.8829999999999993
2013-11-01,1.77,1.649,1.638,0.21700000000000008,2.111999999999999
2013-12-02,2.2,1.713,1.663,0.5050000000000001,1.967999999999999
2014-01-02,1.95,1.819,1.614,0.015999999999999792,1.6249999999999991
2014-02-03,1.9,1.839,1.628,-0.238,1.356999999999999
2014-03-03,2.29,2.253,1.778,-0.3310000000000002,0.948999999999999
