trade_date,spot,f2m,f1y,ret1yl,roll1y
1993-02-01,21.0,21.22,21.58,7.390000000000001,6.370000000000001
1993-03-01,21.32,21.58,22.05,6.939999999999998,6.389999999999997
1993-04-01,21.2,21.46,22.3,5.469999999999999,5.4999999999999964
1993-05-03,20.92,21.15,22.08,6.620000000000001,7.029999999999994
1993-06-01,21.02,21.13,22.25,6.399999999999999,7.179999999999993
1993-07-01,24.07,24.19,24.95,0.629999999999999,1.2399999999999913
1993-08-02,24.17,24.27,24.72,-0.8200000000000003,-0.5100000000000122
1993-09-01,23.36,23.44,23.51,1.7999999999999972,1.789999999999985
1993-10-01,23.0,23.05,22.35,2.3599999999999994,1.7899999999999885
1993-11-01,23.27,23.35,23.07,2.669999999999998,3.469999999999988
1993-12-01,26.05,26.1,23.53,5.009999999999998,4.459999999999987
1994-01-03,29.6,29.64,25.35,3.9299999999999997,2.9099999999999895
1994-02-01,28.97,28.87,25.7,0.7800000000000011,2.3099999999999916
1994-03-01,28.99,29.04,26.2,1.5199999999999996,4.339999999999993
1994-04-04,27.77,27.71,25.25,0.28999999999999915,4.54999999999999
1994-05-02,28.7,28.63,25.25,1.4600000000000009,5.049999999999994
1994-06-01,28.65,28.58,26.82,-0.7600000000000016,4.489999999999991
1994-07-01,25.58,25.67,25.25,1.2300000000000004,7.979999999999993
1994-08-01,23.9,23.92,23.3,3.1999999999999993,9.789999999999996
1994-09-01,25.31,25.15,24.2,2.030000000000001,8.099999999999998
1994-10-03,24.71,23.84,22.95,3.6900000000000013,8.959999999999997
1994-11-01,25.74,24.85,23.82,2.8500000000000014,7.02
1994-12-01,28.54,27.33,23.68,1.3300000000000018,1.5600000000000023
1995-01-03,29.28,27.75,24.05,1.0,-0.4800000000000004
1995-02-01,26.48,25.57,23.95,0.5899999999999999,-0.11000000000000298
1995-03-01,27.72,26.6,24.5,-1.0300000000000011,-3.610000000000003
1995-04-03,25.54,25.22,24.7,0.8100000000000023,-0.8399999999999999
1995-05-01,26.71,26.6,25.87,1.7899999999999991,-0.46000000000000085
1995-06-01,26.06,25.99,26.05,-0.22000000000000242,-2.1400000000000006
1995-07-03,26.48,26.46,25.8,-0.4400000000000013,-3.2900000000000027
1995-08-01,26.5,26.53,26.1,-1.4800000000000004,-4.27
1995-09-01,26.23,26.22,26.4,-1.0199999999999996,-3.379999999999999
1995-10-02,26.64,26.71,26.85,-2.900000000000002,-5.390000000000001
1995-11-01,26.67,26.78,27.3,-4.57,-6.890000000000001
1995-12-01,25.01,25.14,26.25,-3.5100000000000016,-5.350000000000001
1996-01-02,25.05,25.44,26.65,-3.6199999999999974,-5.219999999999999
1996-02-01,24.54,24.82,26.15,-2.349999999999998,-3.9399999999999977
1996-03-01,23.47,23.8,25.25,-0.7800000000000011,-2.299999999999997
1996-04-01,25.51,25.79,27.02,-2.8599999999999994,-4.77
1996-05-01,27.66,28.05,28.68,-3.780000000000001,-6.330000000000002
