trade_date,spot,f2m,f1y,ret1yl,roll1y
2003-07-01,155.75,134.75,147.0,-14.0,-48.75
2003-08-01,139.75,145.0,145.0,-21.0,-68.5
2003-09-02,145.0,146.75,160.0,-13.5,-54.0
2003-10-01,146.75,151.0,151.0,-7.0,-63.25
2003-11-03,141.0,145.75,151.0,-11.5,-65.25
2003-12-01,142.0,145.5,151.0,17.75,-39.0
2004-01-02,152.0,153.25,154.0,2.75,-46.0
2004-02-02,155.75,158.75,159.0,9.0,-35.25
2004-03-01,157.0,164.0,168.0,4.5,-21.75
2004-04-01,178.75,183.5,189.0,-35.0,-39.0
2004-05-03,171.0,176.5,195.5,-61.25,-42.0
2004-06-01,157.75,163.75,184.0,-44.25,-21.75
2004-07-01,133.0,138.75,163.0,-3.0,24.75
2004-08-02,124.0,132.0,247.5,-87.5,35.5
2004-09-01,146.5,153.25,270.5,-128.0,-5.25
2004-10-01,144.0,151.5,161.25,1.0,14.75
2004-11-01,139.5,146.25,166.0,-5.25,20.5
2004-12-01,168.75,157.25,166.0,34.0,29.75
2005-01-03,156.75,154.75,159.0,40.75,44.25
2005-02-01,168.0,160.75,149.0,43.0,31.0
2005-03-01,172.5,156.5,147.25,32.25,9.25
2005-04-01,154.0,149.75,158.0,15.5,-1.0
2005-05-02,134.25,138.25,156.75,33.5,26.0
2005-06-01,139.75,144.25,158.0,28.75,17.5
2005-07-01,160.0,164.0,173.0,41.5,26.25
2005-08-01,160.0,168.75,180.0,8.5,23.75
2005-09-01,142.5,151.5,170.0,13.75,38.0
2005-10-03,162.25,167.0,158.0,49.5,41.75
2005-11-01,160.75,168.25,165.75,78.0,75.75
2005-12-01,200.0,185.75,166.5,89.5,47.25
2006-01-03,199.75,192.0,166.0,96.0,27.0
2006-02-01,192.0,189.5,164.75,92.25,15.0
2006-03-01,179.5,186.25,171.5,74.0,4.75
2006-04-03,173.5,178.75,171.0,105.5,44.5
2006-05-01,190.25,193.75,177.0,85.5,13.75
2006-06-01,186.75,190.0,205.0,81.0,37.0
2006-07-03,214.5,195.0,207.0,84.0,13.0
2006-08-01,188.5,195.75,213.0,44.0,9.5
2006-09-01,183.75,193.0,201.0,56.0,9.5
2006-10-02,207.5,216.0,210.5,78.5,21.5
2006-11-01,243.75,252.75,216.0,70.75,-18.0
2006-12-01,256.0,268.25,230.25,30.75,-60.75
2007-01-03,262.0,269.0,233.0,79.0,-18.0
2007-02-01,257.0,265.75,256.0,67.0,-2.0
2007-03-01,245.5,249.5,252.0,182.0,119.25
2007-04-02,276.5,281.75,263.0,125.0,34.5
2007-05-01,262.5,269.75,259.5,137.25,51.5
2007-06-01,286.0,290.5,285.0,93.0,5.75
2007-07-02,291.0,267.0,279.5,158.5,53.5
2007-08-01,257.0,269.0,277.0,91.0,-18.5
2007-09-04,257.0,262.5,274.0,70.0,-50.0
2007-10-01,289.0,298.5,294.0,27.5,-115.0
2007-11-01,286.75,300.5,302.5,-66.5,-206.0
2007-12-03,261.0,275.5,294.0,-92.0,-218.25
2008-01-02,312.0,319.0,318.0,-106.0,-260.25
2008-02-01,323.0,333.0,362.0,-169.5,-293.0
2008-03-03,434.0,445.75,470.0,-288.5,-415.0
2008-04-01,388.0,399.0,430.0,-239.5,-357.75
2008-05-01,396.75,407.5,440.5,-240.5,-355.5
2008-06-02,378.0,389.75,431.0,-177.0,-279.0
2008-07-01,438.0,450.0,496.5,-271.0,-365.25
2008-08-01,368.0,387.5,443.0,-232.0,-307.25
2008-09-02,344.0,360.0,413.5,-210.25,-285.75
2008-10-01,321.5,338.75,391.0,-167.0,-238.75
2008-11-03,236.0,253.75,302.5,-48.25,-119.25
2008-12-01,202.0,217.5,263.0,-8.0,-80.5
2009-01-02,212.0,221.25,267.5,11.5,-63.5
2009-02-02,192.5,202.5,250.5,-22.5,-93.75
2009-03-02,181.5,191.0,235.0,-14.5,-89.75
2009-04-01,190.5,200.0,247.0,-36.5,-108.25
2009-05-01,200.0,207.0,251.0,-46.0,-122.75
2009-06-01,254.0,263.5,303.0,-108.75,-188.5
2009-07-01,225.5,235.0,274.75,-33.0,-111.25
2009-08-03,211.0,225.25,261.25,15.25,-57.75
2009-09-01,203.25,215.5,255.0,12.75,-57.5
2009-10-01,224.0,237.5,280.0,53.25,-12.5
2009-11-02,254.25,268.0,298.25,64.75,-9.5
2009-12-01,255.0,267.5,292.5,74.75,-4.75
2010-01-04,279.0,287.0,320.5,77.5,18.75
2010-02-01,228.0,237.5,276.5,121.0,72.75
2010-03-01,220.5,229.5,270.0,110.0,64.0
2010-04-01,210.5,219.5,259.0,116.0,68.5
2010-05-03,205.0,213.0,253.5,80.5,33.0
2010-06-01,194.25,202.5,239.75,143.25,91.75
2010-07-01,241.75,247.0,269.0,70.5,-0.25
2010-08-02,276.5,289.5,317.5,28.0,-31.25
2010-09-01,267.75,279.75,308.75,53.25,-5.5
2010-10-01,333.25,343.25,322.0,6.0,-93.0
2010-11-01,363.0,375.5,350.0,-15.0,-116.75
2010-12-01,367.25,363.0,346.0,-24.0,-131.0
2011-01-03,398.0,402.5,356.0,-57.5,-187.5
2011-02-01,397.5,405.75,378.0,-73.0,-180.75
2011-03-01,380.0,389.5,404.0,-76.75,-129.0
2011-04-01,375.0,384.0,419.5,-84.75,-89.0
2011-05-02,334.0,343.0,380.0,-43.75,-38.75
2011-06-01,383.0,392.25,427.0,-142.0,-139.0
2011-07-01,339.5,347.0,377.0,-31.0,-26.25
2011-08-01,345.5,358.0,389.0,-18.0,-1.0
2011-09-01,362.0,362.0,390.0,-3.75,9.25
2011-10-03,328.0,339.0,339.0,27.5,14.5
2011-11-01,335.0,344.5,354.5,25.75,27.0
2011-12-01,322.0,320.0,330.0,36.75,27.25
2012-01-03,298.5,303.25,337.75,-2.25,-0.25
2012-02-01,305.0,301.25,321.0,38.25,14.5
2012-03-01,327.25,309.25,327.0,75.5,25.25
2012-04-02,334.75,336.0,344.25,32.0,-3.75
2012-05-01,336.25,345.25,355.0,35.25,15.0
2012-06-01,285.0,286.0,294.25,85.25,74.5
2012-07-02,346.0,347.25,362.0,33.25,35.25
2012-08-01,371.0,372.0,374.25,-34.5,-5.25
2012-09-04,386.25,395.25,398.25,-19.25,30.0
2012-10-01,366.5,371.75,363.5,-48.5,43.75
2012-11-01,380.25,389.0,365.75,-36.25,62.25
2012-12-03,366.75,384.5,373.5,-14.0,132.75
2013-01-02,335.5,342.75,359.75,-8.75,208.25
2013-02-01,359.25,365.75,389.0,25.75,280.5
2013-03-01,402.5,379.75,379.75,148.75,404.0
2013-04-01,376.25,371.25,349.5,61.75,336.25
2013-05-01,390.25,380.25,367.75,50.25,369.0
2013-06-03,379.5,374.5,380.25,-9.0,388.0
2013-07-01,395.25,356.5,357.75,-11.75,358.75
2013-08-01,339.75,329.5,321.75,29.0,389.5
2013-09-03,379.0,330.0,310.75,59.25,379.25
2013-10-01,315.0,302.5,310.75,28.0,386.25
2013-11-01,329.5,311.25,314.75,32.5,381.25
2013-12-02,359.5,324.5,319.5,-23.75,287.75
2014-01-02,351.0,326.0,304.5,-2.25,257.25
2014-02-03,414.75,368.25,298.75,-29.5,134.25
2014-03-03,528.5,482.5,346.75,-57.0,-10.25
2014-04-01,411.25,366.25,346.0,-84.0,45.0
2014-05-01,418.0,353.0,327.25,-98.25,-40.75
2014-06-02,371.25,354.5,319.0,-74.5,-50.5
2014-07-01,346.0,336.75,320.75,-75.75,-49.25
2014-08-01,350.75,330.75,309.75,-75.5,-85.25
2014-09-02,370.0,346.75,324.0,-100.0,-145.75
2014-10-01,338.75,325.25,314.5,-93.5,-140.75
2014-11-03,347.25,341.0,317.25,-94.75,-164.5
2014-12-01,295.75,306.25,312.5,-55.0,-85.25
2015-01-02,302.25,303.5,311.75,-101.25,-107.5
2015-02-02,269.25,274.0,289.5,-92.25,-87.5
2015-03-02,289.75,278.0,289.0,-123.75,-144.0
2015-04-01,262.0,263.0,282.25,-97.25,-121.25
2015-05-01,229.0,236.0,268.25,-76.0,-90.0
2015-06-01,244.5,252.25,272.25,-82.0,-113.75
2015-07-01,245.0,256.25,281.0,-75.5,-104.0
2015-08-03,234.25,245.25,259.25,-59.5,-73.5
2015-09-01,224.0,224.0,231.5,-65.25,-83.5
2015-10-01,221.0,224.25,236.25,-53.25,-78.25
2015-11-02,222.5,223.5,232.0,-12.5,-45.75
2015-12-01,257.5,236.75,233.75,-33.5,-96.0
2016-01-04,210.5,211.5,218.0,17.5,-49.5
2016-02-01,197.25,206.0,215.5,35.25,-19.5
2016-03-01,165.25,178.25,202.25,58.5,36.0
2016-04-01,185.0,195.0,217.25,8.25,8.25
2016-05-02,192.25,205.5,233.25,10.0,31.75
2016-06-01,190.25,203.0,229.25,25.75,62.5
2016-07-01,205.5,191.25,215.5,69.0,98.0
2016-08-01,199.75,197.5,213.0,67.25,76.0
