trade_date,spot,f2m,f1y,ret1yl,roll1y
2003-10-01,98.995,99.00999,98.775,-0.5250000000000057,-0.04498999999998432
2003-11-03,98.99,98.995,98.21,-0.11999999999999034,-0.03999999999997783
2003-12-01,98.99,98.99,98.16,-0.2950000000000017,-0.10499999999997556
2004-01-02,98.995,98.99,98.57,-0.8149999999999977,-0.11498999999999171
2004-02-02,99.0,98.99,98.38,-0.8799999999999955,-0.1399899999999974
2004-03-01,98.995,99.0,98.38,-0.9799999999999898,-0.1499900000000025
2004-04-01,99.0,98.995,98.6,-1.3699999999999903,-0.14498999999999285
2004-05-03,98.98,98.97,97.975,-0.9749999999999943,-0.11498999999999171
2004-06-01,98.98,98.765,97.595,-0.6299999999999955,-0.12998999999999228
2004-07-01,98.74,98.535,96.96,-0.21999999999999886,-0.11498999999999171
2004-08-02,98.575,98.435,96.96,-0.41499999999999204,-0.16998999999999853
2004-09-01,98.435,98.3,96.965,-0.5300000000000011,-0.13499000000000194
2004-10-01,98.25,98.105,96.92,-0.7000000000000028,-0.19998999999999967
2004-11-01,98.09,97.935,96.905,-0.9099999999999966,-0.19498999999999
2004-12-01,97.865,97.75999,96.88499,-1.0449899999999985,-0.12998999999997807
2005-01-03,97.755,97.515,96.82,-1.0849999999999937,-0.12499999999997158
2005-02-01,97.5,97.405,96.505,-1.0049999999999955,-0.1349999999999767
2005-03-01,97.4,97.225,96.06,-0.6099999999999994,-0.13999999999997215
2005-04-01,97.23,96.985,96.06499,-0.8399900000000002,-0.17499999999998295
2005-05-02,97.0,96.97,96.13,-1.0899999999999892,-0.21999999999997044
2005-06-01,96.965,96.75,96.07999,-1.1099899999999963,-0.22999999999997556
2005-07-01,96.74,96.56,96.07999,-1.3249899999999997,-0.28499999999996817
2005-08-01,96.545,96.4,95.8,-1.1199999999999903,-0.21999999999995623
2005-09-01,96.435,96.335,96.0,-1.2600000000000051,-0.15999999999995396
2005-10-03,96.22,96.005,95.475,-0.7249999999999943,-0.029999999999958504
2005-11-01,95.995,95.845,95.2,-0.4450000000000074,-0.0199999999999676
2005-12-01,95.84,95.735,95.305,-0.5400000000000063,-0.00998999999997352
2006-01-03,95.735,95.525,95.265,-0.5100000000000051,-0.019989999999978636
2006-02-01,95.5,95.46,95.195,-0.4399999999999977,2.0000000020559128e-05
2006-03-01,95.45,95.255,95.005,-0.25,0.015020000000006917
2006-04-03,95.225,95.07,94.865,-0.11499999999999488,0.03503000000000611
2006-05-01,95.04,94.985,94.855,-0.10000000000000853,0.05502999999998792
2006-06-01,94.97,94.82,94.70499,0.04501000000000488,0.06502999999999304
2006-07-03,94.755,94.63,94.585,0.1700000000000017,0.13502999999998622
2006-08-01,94.68,94.645,94.72,0.045000000000001705,0.09003999999997347
2006-09-01,94.74,94.735,95.03,0.010000000000005116,0.24003999999997916
2006-10-02,94.75,94.755,95.15,0.12999999999999545,0.3700499999999778
2006-11-01,94.755,94.75999,95.24,0.2750000000000057,0.4500499999999761
2006-12-01,94.765,94.765,95.56499,0.21501000000000658,0.6200399999999746
2007-01-02,94.755,94.75999,95.18,0.6599999999999966,0.6200399999999888
2007-02-01,94.755,94.75,94.93999,2.1100100000000026,1.6150299999999902
2007-03-01,94.755,94.75999,95.32,2.0200000000000102,1.6950300000000027
2007-04-02,94.75,94.765,95.31,2.4950000000000045,1.8250200000000092
2007-05-01,94.755,94.755,95.275,2.7299999999999898,1.7800200000000075
2007-06-01,94.75,94.75,94.855,3.1400000000000006,1.765020000000007
2007-07-02,94.755,94.75999,94.95,3.039999999999992,1.745020000000011
2007-08-01,94.765,94.795,95.275,2.7099999999999937,1.7800100000000185
2007-09-04,95.04,95.13499,95.63499,2.3500099999999975,1.5650200000000183
2007-10-01,95.28,95.435,95.8,2.4650000000000034,1.7050100000000157
2007-11-01,95.515,95.605,96.015,3.4000000000000057,2.70501000000003
2007-12-03,95.78,95.85,96.86,2.7325000000000017,2.722510000000028
2008-01-02,95.84,96.06,96.965,2.8649899999999917,2.9975100000000197
2008-02-01,97.05,97.255,97.785,1.980000000000004,1.9575200000000308
2008-03-03,97.34,97.685,98.11,1.6550000000000011,1.902520000000024
2008-04-01,97.805,98.06,97.96,1.8400000000000034,1.8275200000000211
2008-05-01,98.005,98.015,97.39,2.4000000000000057,1.892520000000033
2008-06-02,97.995,98.005,97.14,2.6724999999999994,1.9400200000000325
2008-07-01,97.99,97.945,96.97,2.8200000000000074,1.9450200000000422
2008-08-01,97.985,97.95499,97.13499,2.6799999999999926,1.9350100000000339
2008-09-02,97.985,97.98,97.47,2.3599899999999963,1.9349900000000275
2008-10-01,98.265,98.335,97.77,2.0900000000000034,1.6849900000000275
2008-11-03,99.415,99.4,98.24,1.625,0.624990000000011
2008-12-01,99.5925,99.56499,99.05,0.8200000000000074,0.44749000000001615
2009-01-02,99.82999,99.81499,99.21,0.6650000000000063,0.19749000000001615
2009-02-02,99.765,99.735,99.215,0.6525000000000034,0.2699800000000181
2009-03-02,99.765,99.755,99.31499,0.5450100000000049,0.2449800000000124
2009-04-01,99.8,99.78,99.38,0.4300000000000068,0.16498000000001412
2009-05-01,99.79,99.785,99.22,0.5674999999999955,0.14248000000000616
2009-06-01,99.8125,99.8,99.21,0.5700000000000074,0.1199799999999982
2009-07-01,99.79,99.785,98.92,0.8850000000000051,0.1649799999999999
2009-08-03,99.81499,99.8,98.735,1.0775000000000006,0.15249000000000024
2009-09-01,99.82999,99.825,98.985,0.8299899999999951,0.12250000000000227
2009-10-01,99.86,99.845,99.00999,0.7950100000000049,0.07751000000001795
2009-11-02,99.865,99.855,98.985,0.8299899999999951,0.05751000000002193
2009-12-01,99.87,99.86,99.295,0.5150000000000006,0.03251000000003046
2010-01-04,99.875,99.845,98.89,0.9299999999999926,0.027510000000020796
2010-02-01,99.8675,99.855,99.125,0.7099999999999937,0.025020000000012033
2010-03-01,99.86,99.845,99.27,0.5799999999999983,0.030020000000007485
2010-04-01,99.81,99.8,99.07,0.8100000000000023,0.0850200000000001
2010-05-03,99.7875,99.775,99.06499,0.8350100000000111,0.12252000000000862
2010-06-01,99.78,99.77,99.3,0.6000000000000085,0.12752000000001829
2010-07-01,99.805,99.795,99.485,0.4200000000000017,0.1025200000000126
2010-08-02,99.8125,99.81499,99.6,0.28000000000000114,0.0850200000000143
2010-09-01,99.81499,99.81499,99.67,0.23999999999999488,0.12502000000000635
2010-10-01,99.805,99.81499,99.72,0.18999999999999773,0.13000999999998442
2010-11-01,99.81499,99.82,99.77,0.15000000000000568,0.13500999999997987
2010-12-01,99.81,99.81,99.645,0.26500000000000057,0.13500999999996566
2011-01-03,99.82,99.81499,99.63,0.292500000000004,0.1475099999999685
2011-02-01,99.835,99.84,99.585,0.31500000000001194,0.11249999999996874
2011-03-01,99.85,99.86,99.555,0.3299899999999951,0.09248999999998375
2011-04-01,99.88,99.875,99.4,0.4724999999999966,0.05999999999998806
2011-05-02,99.9,99.89,99.54,0.3224999999999909,0.022499999999979536
2011-06-01,99.9,99.895,99.675,0.1700000000000017,-0.002500000000026148
2011-07-01,99.905,99.88,99.655,0.17249999999999943,-0.025000000000034106
2011-08-01,99.88,99.87,99.765,0.09000000000000341,0.004999999999967031
2011-09-01,99.91,99.915,99.9,-0.030000000000001137,-0.025000000000019895
2011-10-03,99.91,99.915,99.87,-0.017499999999998295,-0.04250000000000398
2011-11-01,99.92,99.92,99.88,-0.03999999999999204,-0.06749999999999545
2011-12-01,99.91,99.9,99.87,-0.025000000000005684,-0.05749999999999034
2012-01-03,99.9225,99.915,99.855,-0.020000000000010232,-0.09999999999999432
2012-02-01,99.9,99.895,99.865,0.0,-0.07500000000000284
2012-03-01,99.88499,99.88499,99.82,0.0350000000000108,-0.07999000000000933
2012-04-02,99.8725,99.875,99.795,0.060000000000002274,-0.07250000000000512
2012-05-01,99.8625,99.86,99.825,0.04999999999999716,-0.045000000000001705
2012-06-01,99.845,99.84,99.825,0.0724999999999909,-0.00750000000000739
2012-07-02,99.8275,99.825,99.8,0.09499999999999886,0.009999999999990905
2012-08-01,99.855,99.86,99.86,0.04000000000000625,-0.010000000000005116
2012-09-04,99.87,99.875,99.875,0.04000000000000625,0.0
2012-10-01,99.8525,99.86,99.87,0.03499999999999659,0.0274999999999892
2012-11-01,99.84,99.845,99.835,0.0800000000000125,0.06749999999999545
2012-12-03,99.845,99.855,99.855,0.060000000000002274,0.06749999999999545
2013-01-02,99.835,99.855,99.855,0.05499999999999261,0.08249999999999602
2013-02-01,99.865,99.87,99.82999,0.09251000000000431,0.09000000000000341
2013-03-01,99.855,99.86,99.85,0.07500000000000284,0.11499999999999488
2013-04-01,99.855,99.86,99.82999,0.09001000000000658,0.11499999999999488
2013-05-01,99.875,99.875,99.86,0.04999999999999716,0.09499999999998465
2013-06-03,99.8975,99.89,99.79,0.11999999999999034,0.07749999999998636
2013-07-01,99.895,99.89,99.765,0.13500000000000512,0.06749999999999545
2013-08-01,99.9,99.895,99.78,0.125,0.0724999999999909
2013-09-03,99.915,99.9,99.715,0.19499999999999318,0.06249999999997158
2013-10-01,99.905,99.895,99.8,0.1150000000000091,0.06249999999998579
2013-11-01,99.915,99.915,99.82,0.09000000000000341,0.04249999999997556
2013-12-02,99.915,99.915,99.87,0.01999999999999602,0.03249999999997044
2014-01-02,99.91,99.905,99.805,0.07998999999999512,0.03248999999998148
2014-02-03,99.9225,99.915,99.84,0.03499999999999659,0.014989999999983183
2014-03-03,99.925,99.925,99.82999,0.05250999999999806,0.01748999999998091
2014-04-01,99.92,99.915,99.755,0.12000000000000455,0.022489999999976362
2014-05-01,99.91,99.905,99.745,0.125,0.022489999999990573
2014-06-02,99.91,99.905,99.735,0.13500000000000512,0.027490000000000236
2014-07-01,99.9,99.89,99.655,0.20999999999999375,0.03748999999999114
2014-08-01,99.905,99.9,99.55,0.3149999999999977,0.027489999999986026
2014-09-02,99.91,99.91,99.515,0.31498999999999455,0.0224799999999874
2014-10-01,99.915,99.91,99.45,0.4099999999999966,0.08747999999997091
2014-11-03,99.91,99.9,99.525,0.34499999999999886,0.12247999999998171
2014-12-01,99.89,99.89,99.525,0.2599999999999909,0.1124799999999766
2015-01-02,99.88499,99.875,99.3,0.3650000000000091,0.0874899999999883
2015-02-02,99.875,99.87,99.48,0.14748999999999057,0.06997999999998683
2015-03-02,99.8825,99.875,99.265,0.35250000000000625,0.06998000000000104
2015-04-01,99.875,99.875,99.4,0.23498999999999626,0.10997000000000412
2015-05-01,99.87,99.86,99.335,0.2999900000000082,0.12496000000000151
2015-06-01,99.87,99.86,99.32,0.2875000000000085,0.10746000000000322
2015-07-01,99.865,99.86,99.27,0.3500000000000085,0.15246000000001914
2015-08-03,99.865,99.825,99.28,0.32750000000000057,0.1299600000000254
2015-09-01,99.82999,99.79,99.37,0.21249999999999147,0.11247000000003027
