trade_date,spot,f2m,f1y,ret1yl,roll1y
2010-01-04,79.58,79.92,83.25,8.719999999999999,6.980000000000004
2010-02-01,72.52,73.04,77.12,19.769999999999996,18.91000000000001
2010-03-01,75.16,75.66,78.45,34.89999999999999,32.97000000000001
2010-04-01,80.84,81.27,82.92,31.769999999999996,29.310000000000002
2010-05-03,84.89,86.33,91.12,28.75999999999999,31.25
2010-06-01,70.68,71.4,76.57,33.39,36.749999999999986
2010-07-01,71.03,71.08,74.21,29.11,30.72999999999999
2010-08-02,79.14,79.18,82.23,31.72999999999999,32.90999999999998
2010-09-01,72.4,73.05,78.37,34.92999999999999,39.869999999999976
2010-10-01,80.93,81.03,83.57,16.75,19.679999999999964
2010-11-01,80.83,81.16,84.12,21.39999999999999,26.52999999999996
2010-12-01,85.52,85.81,87.12,20.64,24.93999999999997
2011-01-03,91.97,92.36,92.86,15.299999999999997,19.929999999999964
2011-02-01,96.89,97.17,100.53,6.409999999999997,14.579999999999956
2011-03-01,113.35,113.17,111.97,10.14,13.469999999999956
2011-04-01,114.69,114.32,110.11,10.790000000000006,11.389999999999972
2011-05-02,119.88,120.11,115.34,0.6199999999999903,0.9899999999999665
2011-06-01,109.96,109.71,108.79,-15.670000000000002,-11.350000000000023
2011-07-01,103.32,103.72,106.84,-15.180000000000007,-6.200000000000031
2011-08-01,113.96,113.12,111.02,-10.069999999999993,-7.260000000000019
2011-09-01,113.3,112.63,109.11,0.480000000000004,1.6999999999999886
2011-10-03,100.32,98.87,95.27,11.060000000000002,11.059999999999988
2011-11-01,105.52,104.99,101.73,-0.15000000000000568,-0.35999999999999943
2011-12-01,107.76,107.01,100.58,5.210000000000008,1.2299999999999898
2012-01-03,108.16,107.76,103.1,4.590000000000003,3.0999999999999943
2012-02-01,106.94,107.04,104.72,6.790000000000006,8.790000000000006
2012-03-01,122.11,121.46,112.01,-5.5,-9.669999999999987
2012-04-02,120.9,120.8,111.45,-3.1500000000000057,-5.890000000000001
2012-05-01,115.96,115.61,109.34,-11.990000000000009,-10.620000000000005
2012-06-01,93.12,92.9,90.47,6.609999999999999,12.609999999999985
2012-07-02,91.66,91.77,90.01,9.379999999999995,16.03
2012-08-01,100.95,100.45,95.8,10.519999999999996,14.099999999999994
2012-09-03,109.59,109.28,103.99,1.6099999999999994,5.799999999999983
2012-10-01,106.33,106.35,102.44,-2.6099999999999994,2.84999999999998
2012-11-01,101.58,101.43,99.86,-8.120000000000005,-0.7700000000000244
2012-12-03,105.79,104.67,101.77,-10.789999999999992,-6.450000000000017
2013-01-02,107.69,106.64,102.56,-7.170000000000002,-5.510000000000019
2013-02-01,111.51,109.9,105.73,-7.52000000000001,-7.42000000000003
2013-03-01,106.51,105.08,96.63,10.719999999999999,6.999999999999972
2013-04-01,108.3,106.92,98.43,-1.8700000000000045,-6.320000000000022
2013-05-01,97.35,96.34,90.25,5.859999999999999,2.309999999999988
2013-06-03,97.08,97.21,93.33,6.3700000000000045,4.679999999999993
2013-07-01,99.39,99.07,91.51,12.259999999999991,6.609999999999985
2013-08-01,106.32,104.76,94.29,3.3999999999999915,-6.660000000000011
2013-09-02,105.6,105.73,96.49,-1.4299999999999926,-7.8799999999999955
2013-10-01,99.83,100.13,93.18,-3.25,-6.139999999999986
2013-11-01,91.74,92.3,91.28,-13.760000000000005,-9.059999999999988
2013-12-02,90.98,91.43,90.82,-24.069999999999993,-18.61999999999999
2014-01-02,95.39,95.25,89.4,-38.96000000000001,-39.579999999999984
2014-02-03,98.21,96.32,88.85,-41.46999999999999,-46.02999999999997
2014-03-03,107.35,106.66,94.63,-45.03999999999999,-55.63999999999997
2014-04-01,96.56,97.05,88.24,-37.53999999999999,-46.06999999999997
2014-05-01,96.11,96.59,90.15,-29.310000000000002,-36.129999999999974
2014-06-02,99.7,99.66,91.72,-30.75,-39.739999999999974
2014-07-01,103.77,103.71,96.5,-41.18,-49.479999999999976
2014-08-01,97.69,95.44,91.67,-47.84,-55.37999999999998
2014-09-01,95.06,94.09,90.98,-46.18000000000001,-54.44999999999999
2014-10-01,89.93,88.83,85.52,-44.379999999999995,-54.17999999999999
2014-11-03,77.52,77.63,78.04,-35.68000000000001,-42.41999999999999
2014-12-01,66.75,67.44,69.15,-30.24000000000001,-35.989999999999995
2015-01-02,50.44,50.87,57.72,-24.43,-25.79
2015-02-02,47.38,48.17,57.15,-30.22,-29.35
2015-03-02,49.59,51.23,59.77,-28.900000000000002,-28.340000000000003
2015-04-01,50.7,51.84,58.03,-25.160000000000004,-27.35000000000001
2015-05-01,60.84,61.47,63.61,-22.07,-29.06000000000001
2015-06-01,60.97,60.95,61.87,-16.75,-25.59000000000001
2015-07-01,55.32,55.75,59.19,-13.43,-19.790000000000013
2015-08-03,43.83,44.25,50.66,-13.75,-17.12000000000001
2015-09-01,44.8,45.03,49.18,-9.29,-15.140000000000008
2015-10-01,41.14,41.91,47.63,-1.8700000000000045,-5.77000000000001
2015-11-02,42.36,43.36,49.01,-5.909999999999997,-9.170000000000009
2015-12-01,38.91,40.09,45.57,2.0700000000000003,-0.6100000000000065
2016-01-04,33.29,33.98,40.55,8.590000000000003,7.07
2016-02-01,26.93,28.44,36.54,14.780000000000001,15.519999999999996
2016-03-01,30.87,32.41,38.16,13.510000000000005,12.86
2016-04-01,32.87,34.25,38.81,9.75,8.899999999999999
2016-05-02,41.54,42.15,44.48,2.9100000000000037,-0.030000000000001137
2016-06-01,45.12,45.59,47.7,-0.2600000000000051,-3.200000000000003
2016-07-01,45.76,46.16,49.66,-3.6199999999999974,-4.979999999999997
2016-08-01,36.91,37.36,45.47,2.960000000000001,6.440000000000005
